"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ","2016 (*)"
" ","Dân số trung bình (Nghìn người)"
"CẢ NƯỚC",92695.1
"Đồng bằng sông Hồng",21133.8
"Hà Nội",7328.4
"Vĩnh Phúc",1066.0
"Bắc Ninh",1178.6
"Quảng Ninh",1224.6
"Hải Dương",1785.8
"Hải Phòng",1980.8
"Hưng Yên",1170.2
"Thái Bình",1790.0
"Hà Nam",803.7
"Nam Định",1852.6
"Ninh Bình",953.1
"Trung du và miền núi phía Bắc",11984.3
"Hà Giang",816.1
"Cao Bằng",529.8
"Bắc Kạn",319.0
"Tuyên Quang",766.9
"Lào Cai",684.3
"Yên Bái",800.1
"Thái Nguyên",1227.4
"Lạng Sơn",768.7
"Bắc Giang",1657.6
"Phú Thọ",1381.7
"Điện Biên",557.4
"Lai Châu",436.0
"Sơn La",1208.0
"Hoà Bình",831.3
"Bắc Trung Bộ và Duyên hải miền Trung",19798.8
"Thanh Hoá",3528.3
"Nghệ An",3105.5
"Hà Tĩnh",1266.7
"Quảng Bình",877.7
"Quảng Trị",623.5
"Thừa Thiên Huế",1149.8
"Đà Nẵng",1046.2
"Quảng Nam",1487.7
"Quảng Ngãi",1251.5
"Bình Định",1524.6
"Phú Yên",899.4
"Khánh Hoà",1213.8
"Ninh Thuận",601.4
"Bình Thuận",1222.7
"Tây Nguyên",5693.2
"Kon Tum",507.8
"Gia Lai",1417.3
"Đắk Lắk",1874.5
"Đắk Nông",605.4
"Lâm Đồng",1288.2
"Đông Nam Bộ",16424.3
"Bình Phước",956.4
"Tây Ninh",1118.8
"Bình Dương",1995.8
"Đồng Nai",2963.8
"Bà Rịa - Vũng Tàu",1092.0
"TP.Hồ Chí Minh",8297.5
"Đồng bằng sông Cửu Long",17660.7
"Long An",1490.6
"Tiền Giang",1740.2
"Bến Tre",1265.2
"Trà Vinh",1040.5
"Vĩnh Long",1048.6
"Đồng Tháp",1687.3
"An Giang",2159.9
"Kiên Giang",1776.7
"Cần Thơ",1257.9
"Hậu Giang",772.5
"Sóc Trăng",1312.5
"Bạc Liêu",886.2
"Cà Mau",1222.6

"(*) Diện tích có đến 31/12/2015 theo Quyết định số 455/QĐ-BTNMT "
" ngày 21 tháng 3 năm 2017 của Bộ trưởng Bộ Tài nguyên  "
"và Môi trường."

