,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
0,8/10/15,265.48,0.713989,3.9,,,,,,,,
1,8/11/15,264.34,0.708087,3.95,6276.0,2664787.0,,,,,,
2,8/12/15,270.6,1.06,4.14,6280.0,2671067.0,,,,,,
3,8/13/15,266.18,1.22,3.97,6285.0,2677352.0,,,,,,
4,8/14/15,264.13,1.81,3.88,6287.0,2683639.0,,,,,,
5,8/15/15,265.53,1.8,4.02,6292.0,2689931.0,,,,,,
6,8/16/15,261.87,1.68,3.93,6295.0,2696226.0,,,,,,
7,8/17/15,258.49,1.58,3.96,,,,,,,,
8,8/18/15,257.93,1.22,3.98,6301.0,2702527.0,,,,,,
9,8/19/15,225.67,1.17,3.48,6311.0,2708838.0,,,,,,
10,8/20/15,226.9,1.25,3.47,6312.0,2715150.0,,,,,,
11,8/21/15,235.35,1.48,3.6,6314.0,2721464.0,,,,,,
12,8/22/15,232.66,1.4,3.56,6316.0,2727780.0,,,,,,
13,8/23/15,230.38,1.38,3.51,6323.0,2734103.0,,,,,,
14,8/24/15,228.11,1.35,3.39,6333.0,2740436.0,,,,,,
15,8/25/15,210.07,1.23,2.98,6337.0,2746773.0,,,,,,
16,8/26/15,222.08,1.13,2.95,6343.0,2753116.0,,,,,,
17,8/27/15,226.05,1.17,2.95,6349.0,2759465.0,,,,,,
18,8/28/15,224.7,1.15,2.84,6354.0,2765819.0,,,,,,
19,8/29/15,231.55,1.19,2.92,6355.0,2772174.0,,,,,,
20,8/30/15,229.9,1.18,2.87,6361.0,2778535.0,,,,,,
21,8/31/15,229.11,1.32,2.85,6369.0,2784904.0,,,,,,
22,9/1/15,230.26,1.35,2.85,6380.0,2791284.0,,,,,,
23,9/2/15,228.03,1.35,2.82,6391.0,2797675.0,,,,,,
24,9/3/15,229.32,1.3,2.8,6395.0,2804070.0,,,,,,
25,9/4/15,227.22,1.26,2.64,6396.0,2810466.0,,,,,,
26,9/5/15,230.2,1.28,2.7,6399.0,2816865.0,,,,,,
27,9/6/15,234.87,1.34,2.92,6401.0,2823266.0,,,,,,
