,Unnamed: 0,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
0,0,2013-05-01,139.0,,4.29,,,,,,,,
1,1,2013-05-02,116.38,,3.78,,,,,,,,
2,2,2013-05-03,106.25,,3.39,,,,,,,,
3,3,2013-05-04,98.1,,3.03,,,,,,,,
4,4,2013-05-05,112.9,,3.49,,,,,,,,
5,5,2013-05-06,115.98,,3.59,,,,,,,,
6,6,2013-05-07,112.25,,3.37,,,,,,,,
7,7,2013-05-08,109.6,,3.28,,,,,,,,
8,8,2013-05-09,113.2,,3.4,,,,,,,,
9,9,2013-05-10,112.8,,3.41,,,,,,,,
10,10,2013-05-11,117.7,,3.46,,,,,,,,
11,11,2013-05-12,115.64,,3.36,,,,,,,,
12,12,2013-05-13,114.82,,3.26,,,,,,,,
13,13,2013-05-14,117.98,,3.28,,,,,,,,
14,14,2013-05-15,111.4,,2.82,,,,,,,,
15,15,2013-05-16,114.22,,2.93,,,,,,,,
16,16,2013-05-17,118.21,,2.89,,,,,,,,
17,17,2013-05-18,123.5,,3.2,,,,,,,,
18,18,2013-05-19,123.21,,3.3,,,,,,,,
19,19,2013-05-20,122.5,,3.31,,,,,,,,
20,20,2013-05-21,122.02,,3.19,,,,,,,,
21,21,2013-05-22,122.89,,3.09,,,,,,,,
22,22,2013-05-23,123.8,,3.12,,,,,,,,
23,23,2013-05-24,126.3,,3.17,,,,,,,,
24,24,2013-05-25,133.1,,3.19,,,,,,,,
25,25,2013-05-26,131.99,,3.12,,,,,,,,
26,26,2013-05-27,133.5,,3.23,,,,,,,,
27,27,2013-05-28,129.77,,3.1,,,,,,,,
28,28,2013-05-29,129.0,,3.09,,,,,,,,
29,29,2013-05-30,132.25,,3.08,,,,,,,,
30,30,2013-05-31,128.8,,2.97,,,,,,,,
31,31,2013-06-01,128.81,,2.94,,,,,,,,
32,32,2013-06-02,129.3,,2.83,,,,,,,,
33,33,2013-06-03,122.5,,2.73,,,,,,,,
34,34,2013-06-04,120.74,,2.7,,,,,,,,
35,35,2013-06-05,121.4,,2.87,,,,,,,,
36,36,2013-06-06,121.9,,2.88,,,,,,,,
37,37,2013-06-07,118.97,,2.78,,,,,,,,
38,38,2013-06-08,111.0,,2.6,,,,,,,,
39,39,2013-06-09,107.89,,2.55,,,,,,,,
40,40,2013-06-10,100.44,,2.38,,,,,,,,
41,41,2013-06-11,106.35,,2.49,,,,,,,,
42,42,2013-06-12,109.0,,2.41,,,,,,,,
43,43,2013-06-13,108.78,,2.4,,,,,,,,
44,44,2013-06-14,103.95,,2.27,,,,,,,,
45,45,2013-06-15,100.0,,2.14,,,,,,,,
46,46,2013-06-16,99.8,,2.09,,,,,,,,
47,47,2013-06-17,99.9,,2.14,,,,,,,,
48,48,2013-06-18,101.95,,2.28,,,,,,,,
49,49,2013-06-19,107.05,,2.3,,,,,,,,
50,50,2013-06-20,108.25,,2.3,,,,,,,,
51,51,2013-06-21,111.29,,2.33,,,,,,,,
52,52,2013-06-22,109.5,,2.86,,,,,,,,
53,53,2013-06-23,108.2,,2.9,,,,,,,,
54,54,2013-06-24,107.9,,3.13,,,,,,,,
55,55,2013-06-25,102.09,,2.85,,,,,,,,
56,56,2013-06-26,103.33,,2.81,,,,,,,,
57,57,2013-06-27,104.0,,2.88,,,,,,,,
58,58,2013-06-28,101.74,,3.04,,,,,,,,
59,59,2013-06-29,94.66,,2.76,,,,,,,,
60,60,2013-06-30,95.0,,2.79,,,,,,,,
61,61,2013-07-01,97.51,,3.01,,,,,,,,
62,62,2013-07-02,88.05,,2.95,,,,,,,,
63,63,2013-07-03,90.41,,2.85,,,,,,,,
64,64,2013-07-04,78.89,,2.68,,,,,,,,
65,65,2013-07-05,79.99,,2.71,,,,,,,,
