,date,price(USD),eth_price_USD
0,2015-08-10,265.48,0.713989
1,2015-08-11,264.34,0.708087
2,2015-08-12,270.6,1.06
3,2015-08-13,266.18,1.22
4,2015-08-14,264.13,1.81
5,2015-08-15,265.53,1.8
6,2015-08-16,261.87,1.68
7,2015-08-17,258.49,1.58
8,2015-08-18,257.93,1.22
9,2015-08-19,225.67,1.17
10,2015-08-20,226.9,1.25
11,2015-08-21,235.35,1.48
12,2015-08-22,232.66,1.4
13,2015-08-23,230.38,1.38
14,2015-08-24,228.11,1.35
15,2015-08-25,210.07,1.23
16,2015-08-26,222.08,1.13
17,2015-08-27,226.05,1.17
18,2015-08-28,224.7,1.15
19,2015-08-29,231.55,1.19
20,2015-08-30,229.9,1.18
21,2015-08-31,229.11,1.32
22,2015-09-01,230.26,1.35
23,2015-09-02,228.03,1.35
24,2015-09-03,229.32,1.3
25,2015-09-04,227.22,1.26
26,2015-09-05,230.2,1.28
27,2015-09-06,234.87,1.34
28,2015-09-07,239.93,1.3
29,2015-09-08,239.85,1.25
30,2015-09-09,243.41,1.24
31,2015-09-10,238.34,1.21
32,2015-09-11,238.33,1.16
33,2015-09-12,239.85,0.9872280000000001
34,2015-09-13,235.24,1.04
35,2015-09-14,230.61,0.940566
36,2015-09-15,230.49,0.875189
37,2015-09-16,230.25,0.9419770000000001
38,2015-09-17,229.08,0.9068649999999999
39,2015-09-18,233.52,0.874574
40,2015-09-19,232.86,0.8496030000000001
41,2015-09-20,231.4,0.881191
42,2015-09-21,231.22,0.9414959999999999
43,2015-09-22,226.97,0.9193370000000001
44,2015-09-23,230.94,0.90356
45,2015-09-24,230.36,0.8967959999999999
46,2015-09-25,234.36,0.820031
47,2015-09-26,235.08,0.73763
48,2015-09-27,234.14,0.791277
49,2015-09-28,232.84,0.723715
50,2015-09-29,239.02,0.579414
51,2015-09-30,236.64,0.661192
52,2015-10-01,236.0,0.7343069999999999
53,2015-10-02,237.26,0.683732
54,2015-10-03,237.2,0.678783
55,2015-10-04,238.53,0.686343
56,2015-10-05,238.15,0.666784
57,2015-10-06,240.36,0.622218
58,2015-10-07,246.17,0.650515
59,2015-10-08,243.07,0.6095010000000001
60,2015-10-09,242.5,0.655084
61,2015-10-10,243.74,0.641187
62,2015-10-11,244.74,0.6274609999999999
63,2015-10-12,246.88,0.6345149999999999
64,2015-10-13,245.2,0.627943
65,2015-10-14,249.49,0.61224
66,2015-10-15,252.11,0.523278
67,2015-10-16,254.3,0.562593
68,2015-10-17,262.75,0.534117
69,2015-10-18,270.91,0.547913
70,2015-10-19,261.86,0.517621
71,2015-10-20,263.57,0.489629
72,2015-10-21,269.31,0.43158900000000006
73,2015-10-22,266.5,0.444988
74,2015-10-23,273.65,0.5663699999999999
75,2015-10-24,276.5,0.5396810000000001
76,2015-10-25,281.44,0.563207
77,2015-10-26,283.63,0.619743
78,2015-10-27,285.18,0.7088899999999999
79,2015-10-28,293.7,0.8709379999999999
80,2015-10-29,304.32,1.01
81,2015-10-30,313.94,1.21
82,2015-10-31,328.51,1.05
83,2015-11-01,315.0,0.920847
84,2015-11-02,325.94,1.06
85,2015-11-03,361.87,0.994568
86,2015-11-04,403.66,1.01
87,2015-11-05,408.08,0.900699
88,2015-11-06,388.05,0.9047719999999999
89,2015-11-07,374.27,0.923732
90,2015-11-08,384.28,0.9156610000000001
91,2015-11-09,374.32,1.03
