,date,price(USD),eth_price_USD
0,2013-05-01,139.0,
1,2013-05-02,116.38,
2,2013-05-03,106.25,
3,2013-05-04,98.1,
4,2013-05-05,112.9,
5,2013-05-06,115.98,
6,2013-05-07,112.25,
7,2013-05-08,109.6,
8,2013-05-09,113.2,
9,2013-05-10,112.8,
10,2013-05-11,117.7,
11,2013-05-12,115.64,
12,2013-05-13,114.82,
13,2013-05-14,117.98,
14,2013-05-15,111.4,
15,2013-05-16,114.22,
16,2013-05-17,118.21,
17,2013-05-18,123.5,
18,2013-05-19,123.21,
19,2013-05-20,122.5,
20,2013-05-21,122.02,
21,2013-05-22,122.89,
22,2013-05-23,123.8,
23,2013-05-24,126.3,
24,2013-05-25,133.1,
25,2013-05-26,131.99,
26,2013-05-27,133.5,
27,2013-05-28,129.77,
28,2013-05-29,129.0,
29,2013-05-30,132.25,
30,2013-05-31,128.8,
31,2013-06-01,128.81,
32,2013-06-02,129.3,
33,2013-06-03,122.5,
34,2013-06-04,120.74,
35,2013-06-05,121.4,
36,2013-06-06,121.9,
37,2013-06-07,118.97,
38,2013-06-08,111.0,
39,2013-06-09,107.89,
40,2013-06-10,100.44,
41,2013-06-11,106.35,
42,2013-06-12,109.0,
43,2013-06-13,108.78,
44,2013-06-14,103.95,
45,2013-06-15,100.0,
46,2013-06-16,99.8,
47,2013-06-17,99.9,
48,2013-06-18,101.95,
49,2013-06-19,107.05,
50,2013-06-20,108.25,
51,2013-06-21,111.29,
52,2013-06-22,109.5,
53,2013-06-23,108.2,
54,2013-06-24,107.9,
55,2013-06-25,102.09,
56,2013-06-26,103.33,
57,2013-06-27,104.0,
58,2013-06-28,101.74,
59,2013-06-29,94.66,
60,2013-06-30,95.0,
61,2013-07-01,97.51,
62,2013-07-02,88.05,
63,2013-07-03,90.41,
64,2013-07-04,78.89,
65,2013-07-05,79.99,
66,2013-07-06,68.5,
67,2013-07-07,68.75,
68,2013-07-08,76.5,
69,2013-07-09,76.0,
70,2013-07-10,76.72,
71,2013-07-11,88.0,
72,2013-07-12,88.98,
73,2013-07-13,93.99,
74,2013-07-14,98.7,
75,2013-07-15,93.61,
