date,btc_price,eth_price,ltc_price
8/10/15,265.48,0.713989,3.9
8/11/15,264.34,0.708087,3.95
8/12/15,270.6,1.06,4.14
8/13/15,266.18,1.22,3.97
8/14/15,264.13,1.81,3.88
8/15/15,265.53,1.8,4.02
8/16/15,261.87,1.68,3.93
8/17/15,258.49,1.58,3.96
8/18/15,257.93,1.22,3.98
8/19/15,225.67,1.17,3.48
8/20/15,226.9,1.25,3.47
8/21/15,235.35,1.48,3.6
8/22/15,232.66,1.4,3.56
8/23/15,230.38,1.38,3.51
8/24/15,228.11,1.35,3.39
8/25/15,210.07,1.23,2.98
8/26/15,222.08,1.13,2.95
8/27/15,226.05,1.17,2.95
8/28/15,224.7,1.15,2.84
8/29/15,231.55,1.19,2.92
8/30/15,229.9,1.18,2.87
8/31/15,229.11,1.32,2.85
9/1/15,230.26,1.35,2.85
9/2/15,228.03,1.35,2.82
9/3/15,229.32,1.3,2.8
9/4/15,227.22,1.26,2.64
9/5/15,230.2,1.28,2.7
9/6/15,234.87,1.34,2.92
9/7/15,239.93,1.3,3.04
9/8/15,239.85,1.25,3.05
9/9/15,243.41,1.24,3.05
9/10/15,238.34,1.21,2.92
9/11/15,238.33,1.16,2.95
9/12/15,239.85,0.987228,2.96
9/13/15,235.24,1.04,2.82
9/14/15,230.61,0.940566,2.81
9/15/15,230.49,0.875189,2.84
9/16/15,230.25,0.941977,2.83
9/17/15,229.08,0.906865,2.81
9/18/15,233.52,0.874574,2.91
9/19/15,232.86,0.849603,2.95
9/20/15,231.4,0.881191,2.88
9/21/15,231.22,0.941496,2.85
9/22/15,226.97,0.919337,2.8
9/23/15,230.94,0.90356,2.86
9/24/15,230.36,0.896796,2.87
9/25/15,234.36,0.820031,2.93
9/26/15,235.08,0.73763,2.89
9/27/15,234.14,0.791277,2.89
9/28/15,232.84,0.723715,2.88
9/29/15,239.02,0.579414,3.1
9/30/15,236.64,0.661192,2.97
10/1/15,236,0.734307,3.01
10/2/15,237.26,0.683732,3
10/3/15,237.2,0.678783,3
10/4/15,238.53,0.686343,3.03
10/5/15,238.15,0.666784,3.02
10/6/15,240.36,0.622218,3.02
10/7/15,246.17,0.650515,3.15
10/8/15,243.07,0.609501,3.06
10/9/15,242.5,0.655084,3.07
10/10/15,243.74,0.641187,3.11
10/11/15,244.74,0.627461,3.11
10/12/15,246.88,0.634515,3.15
10/13/15,245.2,0.627943,3.14
10/14/15,249.49,0.61224,3.18
10/15/15,252.11,0.523278,3.15
10/16/15,254.3,0.562593,3.11
10/17/15,262.75,0.534117,3.11
10/18/15,270.91,0.547913,3.07
10/19/15,261.86,0.517621,3.03
10/20/15,263.57,0.489629,3.05
10/21/15,269.31,0.431589,3.09
10/22/15,266.5,0.444988,3.08
10/23/15,273.65,0.56637,3.12
10/24/15,276.5,0.539681,3.11
10/25/15,281.44,0.563207,3.11
10/26/15,283.63,0.619743,3.07
10/27/15,285.18,0.70889,3.11
10/28/15,293.7,0.870938,3.1
10/29/15,304.32,1.01,3.1
10/30/15,313.94,1.21,3.77
10/31/15,328.51,1.05,4.08
11/1/15,315,0.920847,3.82
11/2/15,325.94,1.06,3.98
11/3/15,361.87,0.994568,4.17
11/4/15,403.66,1.01,4.58
11/5/15,408.08,0.900699,4.2
11/6/15,388.05,0.904772,3.95
11/7/15,374.27,0.923732,3.55
11/8/15,384.28,0.915661,3.62
11/9/15,374.32,1.03,3.43
11/10/15,379.98,1,3.4
11/11/15,339.82,0.941296,3.12
11/12/15,314.08,0.796455,2.97
11/13/15,338.5,0.907722,3.27
11/14/15,336.62,0.905469,3.22
11/15/15,333.05,0.891217,3.2
11/16/15,319.74,0.906166,3.07
11/17/15,330.36,0.924948,3.19
11/18/15,334.59,0.993214,3.2
11/19/15,334.68,0.988713,3.19
11/20/15,326.41,0.955735,3.14
11/21/15,322.09,0.928758,3.12
11/22/15,326.98,0.979765,3.16
11/23/15,324.35,0.967493,3.14
11/24/15,323.01,0.946442,3.13
11/25/15,320.05,0.893827,3.11
11/26/15,328.3,0.863273,3.35
11/27/15,351.86,0.8821,3.6
11/28/15,357.14,0.868102,3.58
11/29/15,357.47,0.914144,3.53
11/30/15,371.44,0.879951,3.66
12/1/15,377.41,0.878316,3.63
12/2/15,361.85,0.873171,3.43
12/3/15,359.33,0.818546,3.35
12/4/15,361.26,0.812082,3.38
12/5/15,363.72,0.841195,3.37
12/6/15,389.56,0.866417,3.53
12/7/15,389.98,0.836322,3.45
12/8/15,395.75,0.806024,3.65
12/9/15,414.44,0.824454,3.68
12/10/15,417.99,0.79559,3.67
12/11/15,415.28,0.839995,3.67
12/12/15,452.33,0.931196,3.84
12/13/15,431.66,0.971538,3.6
12/14/15,433.27,0.95662,3.64
12/15/15,443.88,0.990589,3.62
12/16/15,465.21,1.02,3.84
12/17/15,454.78,0.993043,3.7
12/18/15,455.85,0.938327,3.75
12/19/15,463.55,0.921524,3.77
12/20/15,462.23,0.90824,3.74
12/21/15,442.84,0.906065,3.55
12/22/15,437.44,0.894973,3.46
12/23/15,436.72,0.861782,3.43
12/24/15,443.09,0.859433,3.59
12/25/15,454.86,0.861993,3.65
12/26/15,455.76,0.870766,3.64
12/27/15,416.51,0.853166,3.42
12/28/15,423.34,0.856356,3.48
12/29/15,422.1,0.843835,3.47
12/30/15,433.3,0.874258,3.51
12/31/15,425.88,0.912098,3.46
1/1/16,430.72,0.933712,3.48
1/2/16,434.62,0.947401,3.52
1/3/16,433.58,0.93843,3.5
1/4/16,430.06,0.972045,3.48
1/5/16,433.07,0.953147,3.49
1/6/16,431.86,0.950028,3.47
1/7/16,430.01,0.955801,3.45
1/8/16,457.54,0.942752,3.6
1/9/16,453.38,0.985501,3.57
1/10/16,448.24,0.985557,3.56
1/11/16,448.7,0.999216,3.53
1/12/16,448.18,1.07,3.55
1/13/16,434.67,1.14,3.49
1/14/16,432.29,1.12,3.47
1/15/16,430.25,1.18,3.46
1/16/16,365.07,1.22,2.97
1/17/16,387.15,1.22,3.09
1/18/16,381.73,1.33,3.02
1/19/16,387.03,1.42,3.05
1/20/16,379.74,1.36,3.01
1/21/16,419.63,1.53,3.38
1/22/16,409.75,1.55,3.23
1/23/16,382.43,1.5,3.08
1/24/16,388.1,1.9,3.11
1/25/16,402.32,2.15,3.19
1/26/16,392,2.53,3.13
1/27/16,392.44,2.25,3.16
1/28/16,395.15,2.41,3.29
1/29/16,380.11,2.54,3.14
1/30/16,378.87,2.51,3.12
1/31/16,378.29,2.44,3.1
2/1/16,369.35,2.32,3.07
2/2/16,372.92,2.22,3.09
2/3/16,374.65,2.43,3.09
2/4/16,370.17,2.53,3.06
2/5/16,388.9,2.57,3.17
2/6/16,386.59,2.53,3.15
2/7/16,376.51,2.54,3.11
2/8/16,376.76,2.97,3.09
2/9/16,373.42,3.17,3.08
2/10/16,376.15,4,3.09
2/11/16,382.11,4.5,3.11
2/12/16,379.69,5.95,3.09
2/13/16,384.64,5.69,3.12
2/14/16,392.93,5.4,3.15
2/15/16,407.57,5.33,3.23
2/16/16,401.43,5.33,3.2
2/17/16,407.66,4.29,3.23
2/18/16,416.57,3.77,3.25
2/19/16,422.73,4.38,3.26
2/20/16,421.6,4.68,3.27
2/21/16,437.77,4.36,3.46
2/22/16,438.99,4.66,3.47
2/23/16,438.25,5.68,3.49
2/24/16,420.96,5.6,3.4
2/25/16,425.04,6.19,3.39
