category,created_on,lattitude,longitude,name,venue_id
atm,1465943680,50.1220639499942,-5.53289830684662,One And All,8225
default,1397211665,60.1605345,24.9390492,Belle Modeste,42
grocery,1394219130,48.4377466,-123.3124115,Slaters Meats,15
default,1422120857,50.0658333,14.3588965,kaktusy eshop,33
food,1370785480,51.5493776,-0.0593789,Pembury Tavern,3
shopping,1417878506,60.4456862,22.2818123,Tietokonekauppa,4
lodging,1365921482,54.8370236,11.4862062,Bandholm Hotel,5
default,1386794770,39.2615749,-121.0165666,SierraHosts.net,8
nightlife,1398852994,60.169775,24.927098,Helkan Baari,7
default,1389447527,39.7146512,-104.9362682,Costa Rica Travel Market LLC,10
attraction,1419019534,50.0999576,14.4299522,Bio Oko,9
shopping,1409879886,42.3626795,-71.0863982,MIT Coop,12
default,1388228457,13.052391,80.2507557,SurajShkathi,11
food,1402145582,55.6786451,12.5789419,The Dubliner,14
default,1385666967,37.7705183,-122.4504132,Deborah Hodgson Vamp Couture,6
food,1370785039,52.5621339,-0.2457512,Coalheavers Arms,16
lodging,1417043002,-17.825695,31.0469154,Monomatapa Hotel,17
transport,1424272829,41.713569,2.830864,E. S. LES ALEGRIES,18
food,1418985021,46.0647594,11.1504525,Pizzeria OroStube,19
transport,1421950763,52.3774607,4.9080895,StarBikes Rental,20
default,1406348966,50.0859427,14.4169321,"Electronic Tour Guide Rental Point, Art Elephants souvenir & gift shop",21
default,1387016981,50.2330492,12.8808408,Romana Dvořáková,22
default,1382458998,50.0763866,14.4519789,Locus Workspace - Slezská | Coworkingové centrum,23
default,1386581202,50.0816786,14.4191508,STARSKY DIGITAL AGENCY,27
default,1388703167,50.0777622,14.4629394,GOURMETKAVA.CZ (výdejní místo na vyžádání emailem),28
default,1399892189,49.6142365,17.2932786,Salva_Quardia,31
default,1427992618,50.0669199,14.3983579,Studio Najbrt,34
shopping,1386828545,50.1092795,14.4747797,Jeli-design | Interiérový design,35
shopping,1427135702,60.1623144,24.9259094,HUG BikeShop,36
food,1393702018,50.7156495,-3.526299,The Port Royal,37
food,1415272878,40.4262919,-3.6895592,Hard Rock Café,38
lodging,1415269399,40.4292318,-3.6881547,Petit Palace President Castellana,39
food,1395080051,50.8687731,4.4544669,Alice Homemade,40
food,1365929649,52.493019,13.4179531,Room 77,41
food,1421927553,51.5255775,-0.0876143,Nin Com Soup,258
default,1389181307,50.0950734,14.4534252,Justiz-Caps,29
food,1370786241,52.1989253,0.1390513,Devonshire Arms,1
lodging,1412221903,-32.7187665,152.150097,Port Stephens Motor Lodge,2
shopping,1465956215,40.7525644171388,-86.3466274738312,Stack-Tech Computer Repair,8226
cafe,1399646864,37.9580745,-122.499287,Nova Rosti,3928
default,1479749583,40.3225161001552,23.0456256866455,Advanced Computing ltd,8865
food,1427731152,52.3670914,9.7168731,Härtekrug,46
default,1430907077,52.3702884,9.7350293,Identitätsstiftung GmbH,47
default,1386095442,39.9863889,-83.0055556,Columbus Worship Center,50
atm,1418192330,52.2313715,21.0032264,Bobby Burger,49
default,1383436754,41.4047222,-74.325,Saint John The Evangelist Roman Catholic Church,51
default,1385449366,30.4094827,-91.0684555,Dezins Interactive,52
default,1385566742,38.9859,-94.8606,Mill Creek Community Church,53
default,1385055371,33.608786,-117.7114158,Color-Glide ColorGlidePro.com - paint brush replacement  product,54
attraction,1408723158,27.773935,-82.6305988,Saint Petersburg Museum of History,55
default,1397232908,29.5241688,-98.5687186,Law Office of Michael McLees,56
shopping,1409361742,37.7949855,-122.4234775,Laundry Locker Kiosk,60
cafe,1403569846,43.6647999,-79.4130037,Snakes & Lattes,61
default,1410875539,36.782283,126.457458,제생한의원 (Jesaeng Oriental Medicine Clinic),58
shopping,1420665190,37.7678512,-122.4223164,Skunk Funk,65
default,1420762098,37.7882789,-122.4461924,Pet Camp Cat Safari,48
sports,1374226786,45.4752538,9.1394098,Yogarte,62
food,1415731770,17.1565111,-61.8495595,Ana's on the beach,63
shopping,1420753066,37.5555738,-122.318096,Cyclepath,73
nightlife,1402686557,43.6560303,-79.3989471,Grossman's Tavern,57
food,1390247659,51.4761795,-0.0226612,The Birds Nest,67
default,1387085629,52.3655461,4.8917775,FreeJobz Amsterdam,68
transport,1401488003,46.2065817,8.3190782,Tamoil,69
shopping,1424379744,49.5946604,17.2422572,Vlasové studio Petra Nowaková,70
default,1404836726,50.0996098,14.3718615,AntiRadary.NET s.r.o.,71
default,1415875844,49.6063251,17.2817969,Gappa Solutions s.r.o.,72
default,1405452629,35.2743463,-80.8215111,iTek Graphics,76
food,1383680703,52.160142,5.3636061,"snackbar ""De Hoefslag""",74
atm,1390252903,-36.8599089,174.7531083,The Dog's Bollix Pub (BTC ATM),75
food,1401472311,28.333289,-80.611025,Saim Orchid Japanese Restaraunt,79
nightlife,1428009778,51.0435838,3.7254069,Pi-nuts,78
food,1397301102,30.2967459,-97.7416594,Thai Kitchen,82
default,1416404770,52.0717185,-1.2759528,Mansion Hill Veterinary Practice,80
shopping,1429857148,40.6873932,-73.9692312,Brooklyn Flea,84
nightlife,1417187458,47.3961491,0.691889,Le Gros Bar,83
grocery,1430919444,53.3436522,-6.264294,Krust Bakery,85
