date,name,total
2/28/13,1,1
3/3/13,2,3
3/4/13,3,6
4/13/13,4,10
4/14/13,12,22
4/15/13,15,37
4/16/13,16,53
4/17/13,17,70
4/18/13,21,91
4/19/13,22,113
4/20/13,23,136
4/21/13,24,160
4/22/13,27,187
4/23/13,28,215
4/24/13,29,244
4/28/13,34,278
4/29/13,35,313
4/30/13,36,349
5/1/13,37,386
5/2/13,38,424
5/3/13,40,464
5/4/13,41,505
5/6/13,42,547
5/8/13,43,590
5/9/13,44,634
5/13/13,46,680
5/16/13,47,727
5/23/13,48,775
5/25/13,49,824
5/28/13,51,875
5/29/13,54,929
6/3/13,55,984
6/4/13,56,1040
6/9/13,60,1100
6/10/13,61,1161
6/11/13,62,1223
6/12/13,63,1286
6/16/13,64,1350
6/24/13,65,1415
6/26/13,66,1481
6/29/13,67,1548
7/3/13,68,1616
7/6/13,74,1690
7/8/13,77,1767
7/9/13,82,1849
7/10/13,88,1937
7/11/13,92,2029
7/12/13,94,2123
7/16/13,96,2219
7/17/13,99,2318
7/19/13,103,2421
7/20/13,104,2525
7/21/13,105,2630
7/22/13,106,2736
7/24/13,107,2843
7/25/13,108,2951
7/26/13,111,3062
7/27/13,113,3175
7/29/13,114,3289
7/30/13,117,3406
8/1/13,119,3525
8/2/13,120,3645
8/3/13,125,3770
8/4/13,128,3898
8/6/13,129,4027
8/7/13,133,4160
8/8/13,141,4301
8/9/13,143,4444
8/12/13,146,4590
8/13/13,147,4737
8/14/13,148,4885
8/16/13,149,5034
8/19/13,150,5184
8/21/13,152,5336
8/22/13,155,5491
8/23/13,156,5647
8/25/13,164,5811
8/29/13,165,5976
8/30/13,166,6142
8/31/13,180,6322
9/1/13,183,6505
9/2/13,211,6716
9/3/13,212,6928
9/4/13,213,7141
9/5/13,217,7358
9/6/13,218,7576
9/8/13,219,7795
9/9/13,221,8016
9/11/13,223,8239
9/12/13,225,8464
9/13/13,227,8691
9/14/13,232,8923
9/15/13,235,9158
9/16/13,238,9396
9/18/13,242,9638
9/19/13,249,9887
9/20/13,253,10140
9/21/13,258,10398
9/22/13,263,10661
9/24/13,269,10930
9/26/13,278,11208
9/27/13,286,11494
9/30/13,291,11785
10/1/13,296,12081
10/3/13,299,12380
10/4/13,301,12681
10/5/13,304,12985
10/6/13,307,13292
10/7/13,310,13602
10/8/13,314,13916
10/9/13,317,14233
10/10/13,322,14555
10/11/13,327,14882
10/13/13,328,15210
10/14/13,333,15543
10/15/13,339,15882
10/18/13,343,16225
10/19/13,345,16570
10/20/13,348,16918
10/21/13,350,17268
10/22/13,357,17625
10/23/13,359,17984
10/24/13,364,18348
10/25/13,368,18716
10/26/13,372,19088
10/27/13,377,19465
10/28/13,381,19846
10/29/13,383,20229
10/30/13,407,20636
10/31/13,410,21046
11/1/13,413,21459
11/2/13,414,21873
11/3/13,421,22294
11/4/13,430,22724
11/5/13,434,23158
11/6/13,439,23597
11/7/13,440,24037
11/8/13,446,24483
11/9/13,463,24946
11/10/13,474,25420
11/11/13,483,25903
11/12/13,492,26395
11/13/13,502,26897
11/14/13,506,27403
11/15/13,511,27914
11/16/13,528,28442
11/17/13,539,28981
11/18/13,551,29532
11/19/13,575,30107
11/20/13,591,30698
11/21/13,615,31313
11/22/13,636,31949
11/23/13,661,32610
11/24/13,668,33278
11/25/13,723,34001
11/26/13,787,34788
11/27/13,827,35615
11/28/13,878,36493
11/29/13,928,37421
11/30/13,959,38380
12/1/13,969,39349
12/2/13,1002,40351
12/3/13,1059,41410
12/4/13,1112,42522
12/5/13,1168,43690
12/6/13,1194,44884
12/7/13,1219,46103
12/8/13,1241,47344
12/9/13,1279,48623
12/10/13,1323,49946
12/11/13,1360,51306
12/12/13,1390,52696
12/13/13,1414,54110
12/14/13,1432,55542
12/15/13,1445,56987
12/16/13,1453,58440
12/17/13,1465,59905
12/18/13,1492,61397
12/19/13,1505,62902
12/20/13,1511,64413
12/21/13,1529,65942
12/22/13,1538,67480
12/23/13,1548,69028
12/24/13,1553,70581
12/25/13,1561,72142
12/26/13,1569,73711
12/27/13,1596,75307
12/28/13,1618,76925
12/29/13,1627,78552
12/30/13,1656,80208
12/31/13,1686,81894
1/1/14,1703,83597
1/2/14,1718,85315
1/3/14,1732,87047
1/4/14,1756,88803
1/5/14,1768,90571
1/6/14,1791,92362
1/7/14,1815,94177
1/8/14,1858,96035
1/9/14,1874,97909
1/10/14,1902,99811
1/11/14,1920,101731
1/12/14,1935,103666
1/13/14,1956,105622
1/14/14,1986,107608
1/15/14,2004,109612
1/16/14,2024,111636
1/17/14,2047,113683
1/18/14,2062,115745
1/19/14,2071,117816
1/20/14,2090,119906
1/21/14,2110,122016
1/22/14,2127,124143
1/23/14,2148,126291
1/24/14,2170,128461
1/25/14,2177,130638
1/26/14,2190,132828
1/27/14,2208,135036
1/28/14,2226,137262
1/29/14,2240,139502
1/30/14,2260,141762
1/31/14,2277,144039
2/1/14,2288,146327
2/2/14,2300,148627
2/3/14,2312,150939
2/4/14,2327,153266
2/5/14,2344,155610
2/6/14,2358,157968
2/7/14,2364,160332
2/8/14,2381,162713
2/9/14,2389,165102
2/10/14,2409,167511
2/11/14,2423,169934
2/12/14,2435,172369
2/13/14,2453,174822
2/14/14,2468,177290
2/15/14,2474,179764
2/16/14,2479,182243
2/17/14,2487,184730
2/18/14,2499,187229
2/19/14,2517,189746
2/20/14,2533,192279
2/21/14,2549,194828
2/22/14,2560,197388
2/23/14,2566,199954
2/24/14,2576,202530
2/25/14,2594,205124
2/26/14,2603,207727
2/27/14,2613,210340
2/28/14,2620,212960
3/1/14,2624,215584
3/2/14,2630,218214
3/3/14,2643,220857
3/4/14,2656,223513
3/5/14,2669,226182
3/6/14,2674,228856
3/7/14,2683,231539
3/8/14,2695,234234
3/9/14,2698,236932
3/10/14,2707,239639
3/11/14,2725,242364
3/12/14,2742,245106
3/13/14,2761,247867
3/14/14,2772,250639
3/15/14,2790,253429
3/16/14,2800,256229
3/17/14,2822,259051
3/18/14,2862,261913
3/19/14,2889,264802
3/20/14,2921,267723
3/21/14,2948,270671
3/22/14,2960,273631
3/23/14,2965,276596
3/24/14,2984,279580
3/25/14,2991,282571
3/26/14,3011,285582
3/27/14,3036,288618
3/28/14,3061,291679
3/29/14,3079,294758
3/30/14,3081,297839
3/31/14,3092,300931
4/1/14,3112,304043
4/2/14,3143,307186
4/3/14,3152,310338
4/4/14,3168,313506
4/5/14,3175,316681
4/6/14,3179,319860
4/7/14,3194,323054
4/8/14,3199,326253
4/9/14,3227,329480
4/10/14,3233,332713
4/11/14,3249,335962
4/12/14,3290,339252
4/13/14,3301,342553
4/14/14,3309,345862
4/15/14,3319,349181
4/16/14,3327,352508
4/17/14,3334,355842
4/18/14,3339,359181
4/19/14,3341,362522
4/20/14,3342,365864
4/21/14,3352,369216
4/22/14,3361,372577
4/23/14,3377,375954
4/24/14,3380,379334
4/25/14,3387,382721
4/26/14,3390,386111
4/27/14,3400,389511
4/28/14,3403,392914
4/29/14,3410,396324
4/30/14,3425,399749
5/1/14,3432,403181
5/2/14,3461,406642
5/3/14,3468,410110
5/4/14,3473,413583
5/5/14,3478,417061
5/6/14,3485,420546
5/7/14,3496,424042
5/8/14,3500,427542
5/9/14,3507,431049
5/10/14,3511,434560
5/12/14,3520,438080
5/13/14,3527,441607
5/14/14,3535,445142
5/15/14,3571,448713
5/16/14,3578,452291
5/17/14,3582,455873
5/18/14,3595,459468
5/19/14,3604,463072
5/20/14,3610,466682
5/21/14,3619,470301
5/22/14,3625,473926
5/23/14,3635,477561
