Date,Value
2018-04-10,25656757.7153
2018-04-09,28100258.4501
2018-04-08,31416438.0187
2018-04-07,24085935.8143
2018-04-06,27227579.6162
2018-04-05,25656757.7153
2018-04-04,28449329.9836
2018-04-03,27227579.6162
2018-04-02,28274794.2168
2018-04-01,22031861.2314
2018-03-31,27884074.371
2018-03-30,26162835.2123
2018-03-29,23236728.6425
2018-03-28,26162835.2123
2018-03-27,25818587.3805
2018-03-26,23236728.6425
2018-03-25,26851330.8757
2018-03-24,22892480.8107
2018-03-23,24613719.9694
2018-03-22,26162835.2123
2018-03-21,21859737.3155
2018-03-20,26679206.9599
2018-03-19,25990711.2964
2018-03-18,24372959.7309
2018-03-17,25517998.1076
2018-03-16,23555075.1762
2018-03-15,23555075.1762
2018-03-14,25845151.9294
2018-03-13,26335882.6623
2018-03-12,25027267.3747
2018-03-11,22900767.5324
2018-03-10,23882228.9981
2018-03-09,26499459.5732
2018-03-08,25681575.0185
2018-03-07,25517998.1076
2018-03-06,24372959.7309
2018-03-05,22125683.7062
2018-03-04,26909615.3184
2018-03-03,23321666.6093
2018-03-02,24667147.3752
2018-03-01,23172168.7464
2018-02-28,23919658.0608
2018-02-27,21079198.6661
2018-02-26,25564134.5525
2018-02-25,21677190.1176
2018-02-24,22125683.7062
2018-02-23,22275181.5691
2018-02-22,25265138.8267
2018-02-21,21079198.6661
2018-02-20,23149934.669
2018-02-19,23149934.669
2018-02-18,21292223.8622
2018-02-17,22435430.5125
2018-02-16,18720008.899
2018-02-15,25579248.8009
2018-02-14,23435736.3316
2018-02-13,23721537.9942
2018-02-12,21578025.5248
2018-02-11,20434818.8745
2018-02-10,19291612.2242
2018-02-09,18720008.899
2018-02-08,20149017.2119
2018-02-07,24293141.3193
2018-02-06,23938939.7752
2018-02-05,23033142.054
2018-02-04,20445148.5648
2018-02-03,21739145.3094
2018-02-02,20703947.9137
2018-02-01,15139761.9119
2018-01-31,21609745.6349
2018-01-30,19151151.8202
2018-01-29,20445148.5648
2018-01-28,20315748.8903
2018-01-27,20056949.5414
2018-01-26,20445148.5648
