,Day,bitcoin: (Worldwide)_x,Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide),bitcoin: (Worldwide)_yearly,ethereum: (Worldwide)_yearly,litecoin: (Worldwide)_yearly
0,1/1/16,62,0.1,2.0,11,,,
1,1/2/16,62,1.0,2.0,9,,,
2,1/3/16,61,1.0,2.0,11,3.0,0.1,0.1
3,1/4/16,67,1.0,2.0,11,,,
4,1/5/16,66,1.0,2.0,11,,,
5,1/6/16,68,2.0,2.0,13,,,
6,1/7/16,75,1.0,2.0,12,,,
7,1/8/16,72,1.0,3.0,11,,,
8,1/9/16,67,1.0,1.0,11,,,
9,1/10/16,62,1.0,2.0,12,3.0,0.1,0.1
10,1/11/16,69,2.0,2.0,11,,,
11,1/12/16,65,2.0,1.0,13,,,
12,1/13/16,70,2.0,2.0,10,,,
13,1/14/16,63,2.0,2.0,11,,,
14,1/15/16,95,2.0,2.0,10,,,
15,1/16/16,100,3.0,2.0,12,,,
16,1/17/16,75,2.0,1.0,10,3.0,0.1,0.1
17,1/18/16,78,2.0,2.0,12,,,
18,1/19/16,75,3.0,3.0,12,,,
19,1/20/16,84,3.0,2.0,12,,,
20,1/21/16,71,2.0,3.0,11,,,
21,1/22/16,72,3.0,1.0,10,,,
22,1/23/16,61,3.0,2.0,12,,,
23,1/24/16,62,5.0,2.0,10,2.0,0.1,0.1
24,1/25/16,68,5.0,1.0,13,,,
25,1/26/16,66,6.0,2.0,12,,,
26,1/27/16,67,4.0,2.0,13,,,
27,1/28/16,67,4.0,2.0,13,,,
28,1/29/16,65,4.0,2.0,12,,,
29,1/30/16,55,4.0,3.0,14,,,
30,1/31/16,59,3.0,1.0,12,2.0,0.1,0.1
31,2/1/16,58,3.0,1.0,11,,,
32,2/2/16,64,2.0,1.0,12,,,
33,2/3/16,60,3.0,2.0,12,,,
34,2/4/16,62,3.0,1.0,12,,,
35,2/5/16,55,3.0,2.0,12,,,
36,2/6/16,63,3.0,1.0,11,,,
37,2/7/16,61,3.0,2.0,11,2.0,0.1,0.1
38,2/8/16,57,6.0,1.0,13,,,
39,2/9/16,66,6.0,3.0,11,,,
40,2/10/16,65,8.0,2.0,12,,,
41,2/11/16,62,8.0,2.0,15,,,
42,2/12/16,65,9.0,2.0,15,,,
43,2/13/16,60,6.0,1.0,14,,,
44,2/14/16,66,5.0,2.0,10,3.0,0.1,0.1
45,2/15/16,68,7.0,2.0,13,,,
46,2/16/16,66,6.0,2.0,12,,,
47,2/17/16,74,5.0,2.0,12,,,
48,2/18/16,81,5.0,1.0,12,,,
49,2/19/16,68,4.0,2.0,13,,,
50,2/20/16,71,6.0,2.0,9,,,
51,2/21/16,69,5.0,2.0,12,2.0,0.1,0.1
52,2/22/16,71,5.0,2.0,12,,,
53,2/23/16,68,6.0,1.0,13,,,
54,2/24/16,64,5.0,1.0,14,,,
55,2/25/16,69,7.0,1.0,14,,,
56,2/26/16,57,7.0,1.0,13,,,
57,2/27/16,62,7.0,1.0,13,,,
58,2/28/16,60,5.0,2.0,11,2.0,0.1,0.1
59,2/29/16,62,6.0,1.0,11,,,
60,3/1/16,71,7.0,2.0,13,,,
61,3/2/16,65,9.0,1.0,12,,,
62,3/3/16,68,15.0,1.0,14,,,
63,3/4/16,64,10.0,2.0,10,,,
64,3/5/16,68,14.0,3.0,12,,,
65,3/6/16,65,9.0,1.0,10,2.0,0.1,0.1
66,3/7/16,63,11.0,2.0,13,,,
67,3/8/16,67,10.0,2.0,12,,,
68,3/9/16,64,10.0,1.0,12,,,
69,3/10/16,57,10.0,1.0,11,,,
70,3/11/16,60,9.0,1.0,14,,,
71,3/12/16,58,14.0,1.0,12,,,
72,3/13/16,57,15.0,2.0,12,2.0,0.1,0.1
73,3/14/16,65,16.0,1.0,12,,,
74,3/15/16,63,14.0,2.0,12,,,
75,3/16/16,66,12.0,1.0,15,,,
76,3/17/16,59,11.0,1.0,13,,,
77,3/18/16,58,12.0,2.0,13,,,
78,3/19/16,56,9.0,1.0,13,,,
79,3/20/16,53,9.0,2.0,12,2.0,0.1,0.1
80,3/21/16,62,9.0,2.0,13,,,
81,3/22/16,63,9.0,1.0,12,,,
82,3/23/16,56,11.0,1.0,13,,,
83,3/24/16,60,7.0,1.0,15,,,
84,3/25/16,57,6.0,1.0,12,,,
85,3/26/16,52,7.0,2.0,13,,,
86,3/27/16,54,6.0,2.0,11,2.0,0.1,0.1
87,3/28/16,60,14.0,2.0,11,,,
88,3/29/16,60,12.0,2.0,11,,,
89,3/30/16,63,12.0,2.0,12,,,
90,3/31/16,64,10.0,2.0,12,,,
91,4/1/16,28,4.0,1.0,7,,,
92,4/2/16,27,4.0,1.0,5,,,
93,4/3/16,27,3.0,1.0,5,2.0,0.1,0.1
94,4/4/16,31,4.0,1.0,6,,,
95,4/5/16,27,4.0,1.0,5,,,
96,4/6/16,29,4.0,1.0,6,,,
97,4/7/16,29,4.0,1.0,6,,,
98,4/8/16,30,3.0,1.0,6,,,
99,4/9/16,30,3.0,1.0,6,,,
