,date,cyber_attack,Percent
0,8/10/15,10.0,
1,8/11/15,11.0,
2,8/12/15,8.0,
3,8/13/15,7.0,
4,8/14/15,4.0,
5,8/15/15,6.0,
6,8/16/15,7.0,2.0
7,8/17/15,2.0,
8,8/18/15,8.0,
9,8/19/15,7.0,
10,8/20/15,5.0,
11,8/21/15,5.0,
12,8/22/15,2.0,
13,8/23/15,2.0,2.0
14,8/24/15,4.0,
15,8/25/15,4.0,
16,8/26/15,7.0,
17,8/27/15,7.0,
18,8/28/15,9.0,
19,8/29/15,3.0,
20,8/30/15,6.0,2.0
21,8/31/15,5.0,
22,9/1/15,4.0,
23,9/2/15,5.0,
24,9/3/15,5.0,
25,9/4/15,3.0,
26,9/5/15,3.0,
27,9/6/15,4.0,2.0
28,9/7/15,4.0,
29,9/8/15,2.0,
30,9/9/15,8.0,
31,9/10/15,9.0,
32,9/11/15,9.0,
33,9/12/15,3.0,
34,9/13/15,5.0,2.0
35,9/14/15,5.0,
36,9/15/15,6.0,
37,9/16/15,9.0,
38,9/17/15,8.0,
39,9/18/15,7.0,
40,9/19/15,4.0,
41,9/20/15,4.0,2.0
42,9/21/15,16.0,
43,9/22/15,8.0,
44,9/23/15,6.0,
45,9/24/15,2.0,
46,9/25/15,9.0,
47,9/26/15,3.0,
48,9/27/15,3.0,2.0
49,9/28/15,15.0,
50,9/29/15,11.0,
51,9/30/15,11.0,
52,10/1/15,5.0,
53,10/2/15,3.0,
54,10/3/15,4.0,
55,10/4/15,4.0,2.0
56,10/5/15,8.0,
57,10/6/15,6.0,
58,10/7/15,6.0,
59,10/8/15,5.0,
60,10/9/15,5.0,
61,10/10/15,4.0,
62,10/11/15,2.0,2.0
63,10/12/15,4.0,
64,10/13/15,6.0,
65,10/14/15,4.0,
66,10/15/15,6.0,
67,10/16/15,4.0,
68,10/17/15,2.0,
69,10/18/15,3.0,10.0
70,10/19/15,7.0,
71,10/20/15,6.0,
72,10/21/15,4.0,
73,10/22/15,42.0,
74,10/23/15,100.0,
75,10/24/15,29.0,
76,10/25/15,9.0,4.0
77,10/26/15,15.0,
78,10/27/15,17.0,
79,10/28/15,13.0,
80,10/29/15,14.0,
81,10/30/15,11.0,
82,10/31/15,3.0,
83,11/1/15,5.0,3.0
84,11/2/15,10.0,
85,11/3/15,10.0,
86,11/4/15,9.0,
87,11/5/15,6.0,
88,11/6/15,6.0,
89,11/7/15,7.0,
90,11/8/15,3.0,3.0
91,11/9/15,9.0,
92,11/10/15,11.0,
93,11/11/15,8.0,
94,11/12/15,5.0,
95,11/13/15,8.0,
96,11/14/15,7.0,
97,11/15/15,7.0,6.0
98,11/16/15,18.0,
99,11/17/15,39.0,
100,11/18/15,16.0,
101,11/19/15,11.0,
102,11/20/15,10.0,
103,11/21/15,6.0,
104,11/22/15,7.0,2.0
105,11/23/15,8.0,
106,11/24/15,10.0,
107,11/25/15,8.0,
108,11/26/15,1.0,
109,11/27/15,6.0,
110,11/28/15,5.0,
111,11/29/15,7.0,4.0
112,11/30/15,12.0,
113,12/1/15,8.0,
114,12/2/15,15.0,
115,12/3/15,10.0,
116,12/4/15,7.0,
117,12/5/15,2.0,
118,12/6/15,5.0,2.0
119,12/7/15,4.0,
120,12/8/15,12.0,
121,12/9/15,6.0,
122,12/10/15,7.0,
123,12/11/15,7.0,
124,12/12/15,3.0,
125,12/13/15,6.0,2.0
126,12/14/15,7.0,
127,12/15/15,7.0,
128,12/16/15,5.0,
129,12/17/15,7.0,
130,12/18/15,2.0,
131,12/19/15,5.0,
132,12/20/15,2.0,2.0
133,12/21/15,7.0,
134,12/22/15,6.0,
135,12/23/15,7.0,
136,12/24/15,7.0,
137,12/25/15,16.0,
138,12/26/15,6.0,
139,12/27/15,5.0,2.0
140,12/28/15,4.0,
141,12/29/15,4.0,
142,12/30/15,5.0,
143,12/31/15,8.0,
144,1/1/16,37.0,
145,1/2/16,44.0,
146,1/3/16,34.0,2.0
147,1/4/16,48.0,
148,1/5/16,71.0,
149,1/6/16,26.0,
150,1/7/16,42.0,
151,1/8/16,46.0,
152,1/9/16,21.0,
153,1/10/16,14.0,2.0
154,1/11/16,34.0,
155,1/12/16,28.0,
156,1/13/16,31.0,
157,1/14/16,47.0,
158,1/15/16,58.0,
159,1/16/16,32.0,
160,1/17/16,21.0,2.0
161,1/18/16,35.0,
162,1/19/16,28.0,
163,1/20/16,38.0,
