category,created_on,lattitude,longitude,name,venue_id
atm,1465943680,50.12206395,-5.532898307,One And All,8225
default,1397211665,60.1605345,24.9390492,Belle Modeste,42
grocery,1394219130,48.4377466,-123.3124115,Slaters Meats,15
default,1422120857,50.0658333,14.3588965,kaktusy eshop,33
food,1370785480,51.5493776,-0.0593789,Pembury Tavern,3
shopping,1417878506,60.4456862,22.2818123,Tietokonekauppa,4
lodging,1365921482,54.8370236,11.4862062,Bandholm Hotel,5
default,1386794770,39.2615749,-121.0165666,SierraHosts.net,8
nightlife,1398852994,60.169775,24.927098,Helkan Baari,7
default,1389447527,39.7146512,-104.9362682,Costa Rica Travel Market LLC,10
attraction,1419019534,50.0999576,14.4299522,Bio Oko,9
shopping,1409879886,42.3626795,-71.0863982,MIT Coop,12
default,1388228457,13.052391,80.2507557,SurajShkathi,11
food,1402145582,55.6786451,12.5789419,The Dubliner,14
default,1385666967,37.7705183,-122.4504132,Deborah Hodgson Vamp Couture,6
food,1370785039,52.5621339,-0.2457512,Coalheavers Arms,16
lodging,1417043002,-17.825695,31.0469154,Monomatapa Hotel,17
transport,1424272829,41.713569,2.830864,E. S. LES ALEGRIES,18
food,1418985021,46.0647594,11.1504525,Pizzeria OroStube,19
transport,1421950763,52.3774607,4.9080895,StarBikes Rental,20
default,1406348966,50.0859427,14.4169321,"Electronic Tour Guide Rental Point, Art Elephants souvenir & gift shop",21
default,1387016981,50.2330492,12.8808408,Romana DvoÅ™Ã¡kovÃ¡,22
default,1382458998,50.0763866,14.4519789,Locus Workspace - SlezskÃ¡ | CoworkingovÃ© centrum,23
default,1386581202,50.0816786,14.4191508,STARSKY DIGITAL AGENCY,27
default,1388703167,50.0777622,14.4629394,GOURMETKAVA.CZ (vÃ_dejnÃ_ mÃ_sto na vyÅ_Ã¡dÃ¡nÃ_ emailem),28
default,1399892189,49.6142365,17.2932786,Salva_Quardia,31
default,1427992618,50.0669199,14.3983579,Studio Najbrt,34
shopping,1386828545,50.1092795,14.4747797,Jeli-design | InteriÃ©rovÃ_ design,35
shopping,1427135702,60.1623144,24.9259094,HUG BikeShop,36
food,1393702018,50.7156495,-3.526299,The Port Royal,37
food,1415272878,40.4262919,-3.6895592,Hard Rock CafÃ©,38
lodging,1415269399,40.4292318,-3.6881547,Petit Palace President Castellana,39
food,1395080051,50.8687731,4.4544669,Alice Homemade,40
food,1365929649,52.493019,13.4179531,Room 77,41
food,1421927553,51.5255775,-0.0876143,Nin Com Soup,258
default,1389181307,50.0950734,14.4534252,Justiz-Caps,29
food,1370786241,52.1989253,0.1390513,Devonshire Arms,1
lodging,1412221903,-32.7187665,152.150097,Port Stephens Motor Lodge,2
shopping,1465956215,40.75256442,-86.34662747,Stack-Tech Computer Repair,8226
cafe,1399646864,37.9580745,-122.499287,Nova Rosti,3928
default,1479749583,40.3225161,23.04562569,Advanced Computing ltd,8865
food,1427731152,52.3670914,9.7168731,HÃ_rtekrug,46
default,1430907077,52.3702884,9.7350293,IdentitÃ_tsstiftung GmbH,47
default,1386095442,39.9863889,-83.0055556,Columbus Worship Center,50
atm,1418192330,52.2313715,21.0032264,Bobby Burger,49
default,1383436754,41.4047222,-74.325,Saint John The Evangelist Roman Catholic Church,51
default,1385449366,30.4094827,-91.0684555,Dezins Interactive,52
default,1385566742,38.9859,-94.8606,Mill Creek Community Church,53
default,1385055371,33.608786,-117.7114158,Color-Glide ColorGlidePro.com - paint brush replacement  product,54
attraction,1408723158,27.773935,-82.6305988,Saint Petersburg Museum of History,55
default,1397232908,29.5241688,-98.5687186,Law Office of Michael McLees,56
shopping,1409361742,37.7949855,-122.4234775,Laundry Locker Kiosk,60
cafe,1403569846,43.6647999,-79.4130037,Snakes & Lattes,61
default,1410875539,36.782283,126.457458,ì œìƒùí•œìù˜ì›ê (Jesaeng Oriental Medicine Clinic),58
shopping,1420665190,37.7678512,-122.4223164,Skunk Funk,65
default,1420762098,37.7882789,-122.4461924,Pet Camp Cat Safari,48
sports,1374226786,45.4752538,9.1394098,Yogarte,62
food,1415731770,17.1565111,-61.8495595,Ana's on the beach,63
shopping,1420753066,37.5555738,-122.318096,Cyclepath,73
nightlife,1402686557,43.6560303,-79.3989471,Grossman's Tavern,57
food,1390247659,51.4761795,-0.0226612,The Birds Nest,67
default,1387085629,52.3655461,4.8917775,FreeJobz Amsterdam,68
transport,1401488003,46.2065817,8.3190782,Tamoil,69
shopping,1424379744,49.5946604,17.2422572,VlasovÃ© studio Petra NowakovÃ¡,70
default,1404836726,50.0996098,14.3718615,AntiRadary.NET s.r.o.,71
default,1415875844,49.6063251,17.2817969,Gappa Solutions s.r.o.,72
default,1405452629,35.2743463,-80.8215111,iTek Graphics,76
food,1383680703,52.160142,5.3636061,"snackbar ""De Hoefslag""",74
atm,1390252903,-36.8599089,174.7531083,The Dog's Bollix Pub (BTC ATM),75
food,1401472311,28.333289,-80.611025,Saim Orchid Japanese Restaraunt,79
nightlife,1428009778,51.0435838,3.7254069,Pi-nuts,78
food,1397301102,30.2967459,-97.7416594,Thai Kitchen,82
default,1416404770,52.0717185,-1.2759528,Mansion Hill Veterinary Practice,80
shopping,1429857148,40.6873932,-73.9692312,Brooklyn Flea,84
nightlife,1417187458,47.3961491,0.691889,Le Gros Bar,83
grocery,1430919444,53.3436522,-6.264294,Krust Bakery,85
shopping,1384001968,-37.79726,144.978844,Polyester Books,66
food,1422368371,52.3723322,9.7074453,Das kleine Museum,44
default,1483131024,31.74679942,72.91919947,KAMRAN CHATTHA,9060
default,1483131033,31.75199973,72.91947842,KAMRAN CHATTHA,9061
default,1412285393,45.1075649,7.7508834,Computel,86
default,1401431194,45.8489973,23.0132835,Viofarm,88
grocery,1382533057,49.8696994,8.6500972,Grow,89
food,1393945321,47.5489872,7.5865613,Tacoteca,90
attraction,1383742237,25.0181253,121.5745838,Jodie's Kitchen Cooking School,91
lodging,1405578271,49.897371,-97.2038827,Sandman Hotel & Suites Winnipeg Airport,105
default,1392330055,32.94998,-117.227693,DiegoDev Group,95
default,1386790407,33.1967248,-117.3788832,Ares Armor,96
default,1388298618,33.164004,-117.348439,Heritage Senior Care,97
default,1398989281,32.76434,-117.188709,Invincible Creative,98
default,1386205120,32.7959837,-117.2529544,Villalobos SD,99
default,1413057081,32.799441,-117.243776,Computer and Ink Store,101
default,1386206225,33.1471342,-117.2003136,San Marcos Dental Center,102
transport,1384022889,44.2744446,-71.5403094,Irving,111
food,1395401212,39.1922528,-96.6091199,Chens Hunam Chinese Restaurant,124
food,1389103279,47.3712326,8.5438017,Kafi Schoffel,104
lodging,1405584310,49.2788858,-123.1129606,Sandman Hotel Vancouver City Centre,107
food,1429988771,50.9369979,6.9611641,Oscar Lounge,106
cafe,1377270448,49.2807244,-123.1224892,Waves Coffee House,108
default,1483131048,31.75882355,72.91141033,KAMRAN CHATTHA,9062
food,1397418338,30.5499212,-97.8533226,Great Wall Express,94
default,1483131059,31.75803902,72.91736484,KAMRAN CHATTHA,9063
default,1384862630,50.6973488,15.2702063,Royal Bohemian Crystal,112
lodging,1394004656,51.5290096,-0.1200706,Clink 261,113
default,1407761721,47.0655785,15.4505767,realraum,114
shopping,1404740055,59.4445706,8.0075507,Camping Dalen,115
default,1385968603,51.5271838,-0.088663,Himalayan People,116
default,1418472309,50.2433201,16.1059363,Xcovers.cz,117
food,1388249810,59.3135253,18.0850366,Dionysos,118
nightlife,1426601770,55.6771501,12.5691017,CafÃ¨ Guldhornene,119
nightlife,1426601770,55.6773855,12.5694568,Heidi's Bier Bar,120
food,1402055299,19.8881185,102.1401794,Utopia Bar & Restaurant,121
default,1394311692,49.9174351,17.9193025,CA Radost,122
default,1414337601,51.5176692,-0.1343142,CeX,123
default,1483131113,31.77137515,72.89154053,KAMRAN CHATTHA,9064
default,1390325167,45.5019349,9.1370482,Juniorbit Sas - Informatica,125
food,1405180962,59.2961262,18.053015,Sushibar Satzuma,127
cafe,1389354644,50.1008874,14.4171779,Alchymista,87
lodging,1405576634,51.0851087,-114.2085113,Sandman Hotel & Suites Calgary West,92
default,1483131120,31.72232668,72.84896851,KAMRAN CHATTHA,9065
default,1413043777,46.7716796,23.5898366,Chaos Cowork Cluj,129
default,1409042966,43.6931896,-79.3423214,Benjamin Sports Inc.,135
grocery,1398233116,53.3675802,-1.497067,J. H. Mann - Fishmonger,132
cafe,1389704296,55.8318061,-4.2796174,The Brooklyn CafÃ©,133
default,1432506902,41.9761838,2.8198917,FarmÃ cia Simon Bombi,134
lodging,1405579918,49.8824414,-119.440302,Sandman Hotel & Suites Kelowna,163
lodging,1389222642,53.7678697,10.7680096,GÃ_stehof Apolony,136
lodging,1385501721,50.0180775,16.8796875,Chalupa KomÅˆÃ¡tka,137
default,1483131135,31.8256485,73.06800842,KAMRAN CHATTHA,9066
food,1405258104,61.4991966,23.7547799,Vegemesta,139
attraction,1401468698,54.4358207,-2.9642364,University of Cumbria Ambleside Campus,140
cafe,1422638677,48.5774555,13.4704152,BurgcafÃ©,142
food,1416232799,48.2052633,16.3745292,Tian Restaurant,143
food,1418692590,27.777371,-82.631548,400 Beach Seafood,145
food,1408767986,27.7709052,-82.6523574,Ferg's Sports Bar & Grill,146
food,1396080298,39.3475198,-76.4505536,Mama Rosa Rotisserie & Grill,154
attraction,1385547188,49.9335938,14.3165338,"DÄ›tskÃ© Centrum HobÃ_k (Å¡kolka, krouÅ_ky)",147
default,1385681450,49.9208226,14.2364788,gobit.cz - umoÅ_Åˆuje pÅ™ijÃ_mat platby v bitcoinech,148
default,1396344165,57.6549895,11.9017638,Primaleva Massage,149
attraction,1396538879,52.3819756,4.8703456,Filmhuis Cavia,150
food,1375365302,42.8431935,74.5905907,Dolce Vita,151
food,1404213034,45.9763815,8.4027712,Lago delle Rose,152
shopping,1394677112,40.9076669,-74.5519558,Macy's,159
shopping,1398541713,31.7125521,35.2243887,Hawsib Information Technologies,156
food,1384007933,51.3677106,6.1510963,Adana Grill,157
food,1383999916,51.3674702,6.1511367,Joseph Grill,158
shopping,1394676758,40.9073762,-74.5552585,Lord & Taylor,160
food,1395115329,28.1000502,-82.3995584,China City,165
food,1413379588,51.8453363,5.8688296,De Nieuwe Winkel,161
food,1384022274,55.9317618,37.5202352,Subway,162
default,1398793100,45.4001728,-75.7115951,Sun of A Gun,164
default,1394239136,45.4264515,-75.6939621,http://www.themodernshop.ca/,170
shopping,1397057901,47.6648179,-122.2958156,Counterbalance Bicycles,171
default,1417699718,51.4767866,-3.1787073,CeX Cardiff,166
default,1365876147,48.1442725,17.1065474,Progressbar,167
food,1429107086,50.0864594,14.4053181,U MalÃ_Å™Å¯,168
nightlife,1417216944,46.5183958,6.6340684,QWERTZ,169
nightlife,1402005836,32.7478087,-117.1297638,Rooted Kava Bar,131
nightlife,1390044177,-37.80524,144.983027,Grumpy's Green,130
default,1388753318,53.284784,-6.1327079,Michal Photo,128
default,1412783131,49.7808809,14.4503536,Andrago Winery,173
shopping,1373125113,48.8431028,2.2443054,John Landot,175
lodging,1405579333,49.296331,-117.6555992,Sandman Hotel Castlegar,189
lodging,1365922552,37.7937071,-122.4042094,Pacific Tradewinds Hostel,180
default,1394048908,51.0859286,17.016939,soon bitcoinkiosk.ch,179
food,1397269594,30.3958149,-97.7196383,Bamboo Bistro North,183
default,1401047989,-34.8662606,-58.0425912,Farmacia Optica Agostini,181
shopping,1385468467,47.9860263,10.1798307,Ulrich Buhmann,182
food,1397272545,30.3986564,-97.7474271,Bombay Bistro,185
default,1362308915,50.0984671,14.4359065,brmlab,184
food,1416843973,27.773918,-82.633613,The Ale and the Witch,194
lodging,1418307770,42.7621292,27.8294873,EcoHotel Gora,187
shopping,1426900708,43.5495948,-79.5876526,Euro Flowers,193
cafe,1418634218,52.3739428,9.7064773,Bohne,190
default,1408378523,55.8654691,-4.2627761,CeX Glasgow Sauchiehall,192
lodging,1405576418,50.9815732,-114.0452219,Sandman Hotel & Suites Calgary South,215
food,1396332282,39.0408505,-94.4175927,King Wok,199
transport,1423738983,46.0384428,11.1230431,Area di Servizio Petrol-Airport,195
food,1429528825,10.556875,-61.415486,Nick's Cafe,197
lodging,1418408492,39.2160131,9.1111319,Affittacamere B&B Cagliari Novecento,198
food,1396333406,39.0402008,-94.4160484,Mama Garden,201
food,1415272730,40.4351252,-3.6835198,Bofinn,200
food,1415272615,40.4365907,-3.6865757,Tamero,202
food,1403285375,40.437361,-3.6865518,La Ã_rsula,203
food,1415272642,40.437451,-3.6865027,La Taberna,204
food,1415272509,40.4361646,-3.6848207,La Armonia,205
food,1415272593,40.4361971,-3.6862478,MesÃ_n 5Jotas,206
food,1415272574,40.4364074,-3.6861892,Ori,207
food,1415272698,40.4351692,-3.6849646,El SÃ©ptimo,208
food,1415272713,40.4352013,-3.6844928,El Asador de Aranda,209
default,1407061614,52.5177555,13.4581799,do you space,211
shopping,1403451621,47.063834,15.4423455,FahrradkÃ_che Graz,212
shopping,1380906332,52.5133689,13.462218,Tricky Tunes,213
default,1409162341,60.1645366,24.9327511,Helsinki Shooting Club,214
lodging,1405578763,43.6422697,-79.6311358,Stage West,172
attraction,1385815253,49.8807247,-119.504094,Doctor Recommended,176
food,1413064829,39.9991059,-105.2539748,Moe's Original Bar B Que,177
default,1465975365,48.82935657,2.36894846,L'atelier de l'Ã©phÃ©mÃ¨re,8227
default,1488434921,50.11064372,14.46654797,Seoul Coin,9527
default,1488455740,48.20464095,16.37408674,Stadler VÃ¶lkel RechtsanwÃ_lte,9528
default,1402449591,42.6402694,-73.784384,Organica: Garden Supply & Hydroponics,219
default,1415410545,37.4269015,-122.1479633,Red Door Movie Rental,221
food,1367401404,42.3636635,-71.1011293,VeggieGalaxy,222
shopping,1418872293,39.9724031,-75.1345113,The Bicycle Stable,226
food,1397301292,30.2689156,-97.7428345,Thai Passion - Downtown,227
lodging,1395831877,46.5637114,11.4136741,Bergasthof PlÃ¶rr,318
grocery,1423589906,45.888989,11.0439284,Drogheria Micheli,223
shopping,1393556209,48.1471429,17.1188022,Silver Moon,224
lodging,1392415051,51.9151473,4.4643255,Hotel van Walsum,225
food,1395400820,39.1850563,-96.5740607,Green Tea Sushi Bar,228
lodging,1388651481,35.572302,-121.1120376,Mariner's Inn,230
default,1388441567,43.1550576,-77.6189344,Netsville,232
nightlife,1409824787,40.4326692,-3.6872715,CallejÃ_n de Serrano,229
shopping,1383176751,45.6723056,-111.0740236,Rooks Comics and Games,242
food,1389025552,40.7616461,-111.8885341,Pie Hole,244
default,1383905170,53.2588316,7.924502,Rechtsanwalt Daniel Dietrich,233
default,1414404490,51.5821466,-0.3323122,M & M Hair and Beauty,234
default,1417699719,51.5821146,-0.3323591,CeX Harrow,235
default,1424461007,51.0597214,3.7326004,Whitespace,236
nightlife,1428010563,51.0547053,3.7215045,5 voor 12,237
food,1393939077,12.9280252,100.874346,Pattaya Beer Garden,238
default,1374227669,45.4609305,9.1061094,MBR Architettura,240
default,1418083670,39.7548245,-104.9871359,Unleaded Group,247
food,1388764725,54.315705,8.6083517,Friesenkate,243
food,1390081801,53.2039061,-6.1011288,3 Amigos,245
cafe,1401361632,48.191622,16.3951162,Cafe & Bar Diesels,246
food,1404804983,-34.596169,-58.3732278,Porto Pirata,248
cafe,1392000270,42.6540939,-73.7504154,The French Press Cafe & Creperie,218
food,1401180699,45.4797273,9.2210821,EDA Milano,250
food,1396010273,37.7510094,-97.2617458,Two Brothers BBQ Woodlawn,253
food,1397299467,30.3578376,-97.7329828,Pho Thaison Vietnamese Cuisine,254
food,1405720718,54.6726313,25.2795982,PilÄ—nai,255
lodging,1386712407,42.8747552,24.639129,_ê_·_°Ñ€_µÑè,256
shopping,1411820435,51.049848,3.7213797,Gameswap,257
cafe,1400745515,59.3117663,18.0788131,Twang,217
default,1466020184,52.73096449,15.236063,Detektywi GorzÃ_w,8228
attraction,1386944559,53.2710389,19.7032346,"Gospodarstwo Agroturystyczno - Ekologiczne""Stajnia LeÅºno""",280
food,1418872254,39.9665561,-75.1391589,PYT,264
lodging,1385830645,48.4506331,18.9057165,ApartmÃ¡n ajaj,263
default,1419672706,37.4855589,-122.2264733,It Is Vapor,266
shopping,1433312817,45.869228,10.8760253,Bertamini,265
food,1399490129,42.3636159,-71.1010542,Moksa,269
default,1389110463,53.6528377,10.163109,n7media - Agentur fÃ_r Kommunikations- und Webdesign,267
default,1400621284,51.6267552,9.0330749,Kunstkopien in Ã–l auf Leinwand - Dorothea Adam,268
food,1393649512,42.9630238,-85.6645169,One Stop Coney Shop,273
lodging,1373401799,-32.8883981,-68.8448455,Hotel San MartÃ_n,270
food,1398602987,45.6771049,12.2857136,Pizzeria Tiepolo,271
shopping,1381173257,52.4888868,13.3947046,Otherland,272
cafe,1397296997,30.4287281,-97.7504309,Minh's Cafe,278
lodging,1400001308,53.2000961,19.6458031,Pole namiotowe,274
lodging,1403486149,-33.0268673,-71.5651245,La Casa del Almirante,275
default,1397052767,45.5815867,8.1048822,michele silvestri,276
attraction,1374240336,47.3810339,8.5338035,Das Russische Sprachstudio,277
default,1385489709,40.7389191,-73.9907073,Steve Alper DMD,282
food,1387841036,52.1549622,5.3745371,Jia,283
default,1414180363,48.1872898,16.3733152,BOTENDIENST|QUICKTRANSPORT.AT,284
food,1393078866,26.6428482,-81.86325,ZCrÃªpes CafÃ©,288
grocery,1432929222,60.1603553,24.9195985,K-Market JÃ_tkÃ_saari,286
lodging,1431604176,50.8493957,2.882953,La Porte CochÃ¨re,287
default,1387380611,40.5009856,-74.6529196,Bars 'N Beats Recording Studio,292
food,1417000702,60.1637887,24.9478673,Spis,289
default,1392585150,45.7703,-73.978673,PerronHosting.com,290
grocery,1365918799,37.7720246,-122.4092269,Cups and Cakes Bakery,296
lodging,1385485677,60.193792,24.956026,Cheapsleep Hostel,293
default,1421255818,13.8635545,100.6171651,à¸Åà¸_à¸‡à¸•à¸_à¸£à¸§à¸ˆà¸ªà¸·à_ˆà¸_à¸ªà¸_à¸£,295
food,1397053676,35.4950363,-97.5317178,Lido Asian Cuisine,298
default,1417178591,49.220221,17.6494571,?,297
default,1366300752,48.7096216,13.2427051,Romantikresort,259
default,1470985470,52.40978882,16.9013983,www.Manunu.eu,8418
default,1401966552,48.2243996,16.3421012,Masshemden Atelier Voglhuber,301
default,1395248839,43.4496827,-80.4910633,Sara's KW Driving Academy,321
food,1397052068,35.2115934,-97.4422524,Padthai Thai Restaurant,310
default,1385854474,37.3744381,-5.9786981,ClÃ_nica Lucq,304
default,1386234831,59.3457035,18.0954851,AlternativhÃ_lsan Ã–stermalm,305
default,1384974419,47.3723846,8.5409899,Peyer Fine Art GmbH,306
food,1404008794,37.585497,127.0292663,ìù´ì_êì_´ì•_ ëè™ê__êµ¬ëù_ë¶€,308
shopping,1426093958,49.6124609,17.3340746,OkrasnÃ¡ Å¡kolka DroÅ_dÃ_n,309
default,1385474327,41.2498239,-96.0826749,CoVis CoWorking,311
default,1418747200,27.7713227,-82.6473269,Paper Street Market,322
food,1427731810,52.3881503,9.7408566,boca gastrobar,313
food,1422028740,60.0195582,22.5063515,Portside,315
nightlife,1414622890,35.663793,139.732237,awabar,316
lodging,1403522814,47.5054819,19.0614269,Paprika Hostel,317
default,1387065943,37.9776512,23.7282673,Î_ÏŒÎ_Î_Î± Î ÎµÎ_ÏÅÎ±Ï„Ï_Î_ Î•Î»Î»Î¬Î´Î±Ï‚ - Pirate Party of Greece - Î_ÎµÎ_Ï„ÏÅÎ_ÎºÏŒ Î“ÏÅÎ±Ï†ÎµÎ¯Î¿,319
default,1366300638,35.0957414,-106.658747,New Mexico Tea Company,303
