date,count,sum
2/28/13,1,1
3/3/13,1,2
3/4/13,1,3
4/13/13,1,4
4/14/13,8,12
4/15/13,3,15
4/16/13,1,16
4/17/13,1,17
4/18/13,4,21
4/19/13,1,22
4/20/13,1,23
4/21/13,1,24
4/22/13,3,27
4/23/13,1,28
4/24/13,1,29
4/28/13,5,34
4/29/13,1,35
4/30/13,1,36
5/1/13,1,37
5/2/13,1,38
5/3/13,2,40
5/4/13,1,41
5/6/13,1,42
5/8/13,1,43
5/9/13,1,44
5/13/13,2,46
5/16/13,1,47
5/23/13,1,48
5/25/13,1,49
5/28/13,2,51
5/29/13,3,54
6/3/13,1,55
6/4/13,1,56
6/9/13,4,60
6/10/13,1,61
6/11/13,1,62
6/12/13,1,63
6/16/13,1,64
6/24/13,1,65
6/26/13,1,66
6/29/13,1,67
7/3/13,1,68
7/6/13,6,74
7/8/13,3,77
7/9/13,5,82
7/10/13,6,88
7/11/13,4,92
7/12/13,2,94
7/16/13,2,96
7/17/13,3,99
7/19/13,4,103
7/20/13,1,104
7/21/13,1,105
7/22/13,1,106
7/24/13,1,107
7/25/13,1,108
7/26/13,3,111
7/27/13,2,113
7/29/13,1,114
7/30/13,3,117
8/1/13,2,119
8/2/13,1,120
8/3/13,5,125
8/4/13,3,128
8/6/13,1,129
8/7/13,4,133
8/8/13,8,141
8/9/13,2,143
8/12/13,3,146
8/13/13,1,147
8/14/13,1,148
8/16/13,1,149
8/19/13,1,150
8/21/13,2,152
8/22/13,3,155
8/23/13,1,156
8/25/13,8,164
8/29/13,1,165
8/30/13,1,166
8/31/13,14,180
9/1/13,3,183
9/2/13,28,211
9/3/13,1,212
9/4/13,1,213
9/5/13,4,217
9/6/13,1,218
9/8/13,1,219
9/9/13,2,221
9/11/13,2,223
9/12/13,2,225
9/13/13,2,227
9/14/13,5,232
9/15/13,3,235
9/16/13,3,238
9/18/13,4,242
9/19/13,7,249
9/20/13,4,253
9/21/13,5,258
9/22/13,5,263
9/24/13,6,269
9/26/13,9,278
9/27/13,8,286
9/30/13,5,291
10/1/13,5,296
10/3/13,3,299
10/4/13,2,301
10/5/13,3,304
10/6/13,3,307
10/7/13,3,310
10/8/13,4,314
10/9/13,3,317
10/10/13,5,322
10/11/13,6,328
10/13/13,1,329
10/14/13,5,334
10/15/13,6,340
