count,date,btc_index,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count_vendors,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,VIX Close,cyber_attack_index,hashrate,diff,dum_future,btc_per,cyber_attack
0,8/10/15,59,2,2,287821077.5,111405,3843850000,265.48,20979400,4325,27.2134821,null,0,6467,1193011.288,1999,43130000,0.713989,405283,27817.34375,31.16514444,1001,15193400.82,3438,162062000,3.9,2239890,27700,70.60280182,null,0,12.23,10,458451.5907,52699842409,0,118,20
1,8/11/15,62,3,2,279935629.2,117239,3828500000,264.34,25433900,4200,26.6333475,null,3,6467,1051922.387,4945,42796500,0.708087,1463100,28027.8125,11.31144859,2342,14285029.37,3470,164164000,3.95,3426300,28950,64.65151508,null,0,13.71,11,442733.2505,52699842409,0,124,22
2,8/12/15,61,3,2,312440693,116367,3920210000,270.6,26815400,3075,25.3674595,null,4,6471,792332.721,1993,64018400,1.06,2150620,27370.9375,32.5869924,906,20040325.37,3528,172371000,4.14,3519900,27850,55.46269005,null,0,13.61,8,322225.9752,52699842409,0,122,16
3,8/13/15,64,4,2,338626860.8,117871,3857090000,266.18,27685500,3750,25.04715135,null,5,6476,2181178.652,2807,73935400,1.22,4068680,28268.125,24.92916911,1274,9130570.887,3178,165366000,3.97,2409030,28300,55.44748774,null,0,13.49,7,390338.783,52699842409,0,128,14
4,8/14/15,58,5,2,329148435.5,111030,3828340000,264.13,27091200,3375,24.33639928,null,2,6478,4154762.744,3144,109594000,1.81,4637030,31106.71875,14.35483411,1594,10526520.79,3134,161665000,3.88,3157170,28050,56.81021133,null,0,12.83,4,351042.9323,52699842409,0,116,8
5,8/15/15,59,4,3,254521679.6,98422,3849530000,265.53,19321100,3350,20.99042465,null,5,6483,8336306.792,2264,109160000,1.8,2554360,28512.65625,8.836593028,1313,9345429.687,2933,167683000,4.02,2016290,28150,48.229856,null,0,12.83,6,351042.9323,52699842409,0,118,12
6,8/16/15,63,2,2,271676952.6,86754,3797330000,261.87,29717000,3600,18.2891781,null,3,6486,2870425.718,2422,102028000,1.68,3550790,27094.53125,6.677237925,1202,12313302.64,3132,164023000,3.93,3197720,26950,51.37936622,null,0,12.83,7,385099.3362,52699842409,0,126,14
7,8/17/15,63,3,2,337862458.8,112090,3749260000,258.49,21617900,3575,23.30970771,null,0,6486,3546720.033,2503,95819700,1.58,1942830,28118.90625,7.64281184,1249,13180759.1,3691,165435000,3.96,2289060,29100,54.13494812,null,0,13.02,2,385099.3362,52699842409,0,126,4
8,8/18/15,75,2,2,406441634.7,120195,3742020000,257.93,42147200,3625,25.77426057,null,6,6492,1889437.076,2485,88143200,1.22,1485680,26162.8125,11.90607134,1294,13259929.44,3382,166400000,3.98,3464380,29200,47.25054477,null,0,13.79,8,377240.1661,52699842409,0,150,16
9,8/19/15,87,2,2,370984019.9,122075,3274860000,225.67,60869200,3875,24.59124418,null,10,6502,1345002.293,3224,84663900,1.17,1486240,27282.03125,15.43095067,1350,25842085.16,3867,145451000,3.48,5742670,29300,63.59306648,null,0,15.25,7,379859.8895,52699842409,0,174,14
10,8/20/15,78,2,3,311871518.5,116959,3293570000,226.9,32275000,3825,25.26291979,null,1,6503,521679.8076,2266,90809000,1.25,2843760,21057.03125,6.855566943,1167,14305181.61,3099,145186000,3.47,2882900,30150,58.14137564,null,0,19.14,5,398197.9531,52699842409,0,156,10
11,8/21/15,74,2,2,323532723.5,115801,3417200000,235.35,23173800,4000,23.72098323,null,2,6505,868536.9585,3888,107266000,1.48,2020970,26690.9375,7.855041725,1425,8631636.661,2690,150702000,3.6,1720630,29850,53.70438856,null,0,28.03,5,406057.1232,52699842409,0,148,10
12,8/22/15,70,3,2,264931064.7,105679,3379050000,232.66,23205900,3875,22.55638699,null,2,6507,692395.5571,3562,101404000,1.4,948310,27550.46875,42.54717183,1414,11872118.29,3140,149233000,3.56,1913720,27250,68.88832783,null,0,28.03,2,403437.3998,52699842409,0,140,4
13,8/23/15,71,2,2,234347715.9,93952,3346760000,230.38,18406600,3400,20.39686001,null,7,6514,687012.1175,4126,99894500,1.38,1589300,26255.625,8.049767673,1570,18503173.01,3211,147266000,3.51,2066020,27950,54.23020079,null,0,28.03,2,412658.0936,54256630328,0,142,4
14,8/24/15,84,2,2,391154489.8,119017,3314640000,228.11,59220700,3850,25.229565,null,10,6524,623945.2454,4423,97791600,1.35,924920,27333.28125,8.87628542,1436,29950553.68,4202,142301000,3.39,7278630,28200,59.20928953,null,0,40.74,4,369504.306,54256630328,0,168,8
15,8/25/15,81,2,5,409074698.9,124916,3053250000,210.07,61089200,3400,25.83510482,null,4,6528,499939.8473,4449,89321900,1.23,1307180,26736.09375,8.259755825,1580,53115203.12,5407,125279000,2.98,11404300,27000,70.13659455,null,0,36.02,4,423446.5405,54256630328,0,162,8
16,8/26/15,70,2,3,313401739.9,124715,3228540000,222.08,31808000,3950,25.4549747,null,6,6534,496507.8597,4112,82384400,1.13,1056750,26137.96875,7.447729279,1527,36978474.9,4068,123884000,2.95,4551630,14775,63.14609755,null,0,30.32,7,372201.4177,54256630328,0,140,14
17,8/27/15,65,1,3,326706484.6,114961,3287220000,226.05,21905400,3600,23.15723921,null,6,6540,319146.9605,5568,85106100,1.17,686662,24532.8125,8.670963043,1591,18072496.57,3252,123773000,2.95,1936130,13025,50.88148513,null,0,26.1,7,418052.317,54256630328,0,130,14
18,8/28/15,66,1,2,329818436.8,121126,3268370000,224.7,31336600,3850,24.5461252,null,5,6545,345519.9479,4723,83521700,1.15,721872,24225.15625,9.925148371,1531,27470153.82,3450,119452000,2.84,4186540,13475,42.71173093,null,0,26.05,9,401869.6467,54256630328,0,132,18
19,8/29/15,65,1,2,218227093.1,113113,3368880000,231.55,17142500,4000,22.52730241,null,1,6546,512109.4264,4109,86887600,1.19,375377,22525,5.507451526,1375,13166383.3,2950,122591000,2.92,1706060,13825,48.07339876,null,0,26.05,3,401869.6467,54256630328,0,130,6
20,8/30/15,67,1,2,168568324.1,94814,3345740000,229.9,19412600,3700,18.30473815,null,6,6552,490782.1774,4547,86145900,1.18,1337650,21453.59375,5.634173742,1624,5865979.985,2658,120755000,2.87,1497480,12875,43.90213456,null,0,26.05,6,445023.4343,54256630328,0,134,12
21,8/31/15,64,2,2,230375094,122092,3335220000,229.11,20710700,4000,26.96425504,null,8,6560,508000.9748,5165,96251000,1.32,1447180,21293.4375,7.424533814,1515,12560389.36,2828,120021000,2.85,1752920,14175,38.31950495,null,0,28.43,5,388384.0881,54256630328,0,128,10
22,9/1/15,65,2,2,291358010.3,135506,3352760000,230.26,20575200,3800,26.4941016,null,11,6571,1916754.265,5114,98617200,1.35,778862,20339.21875,7.843769856,1555,7351852.331,3300,119819000,2.85,1376040,15675,48.23332336,null,0,31.4,4,428840.7639,54256630328,0,130,8
23,9/2/15,58,2,1,294800384.1,143310,3321180000,228.03,18760400,3950,48.03187173,null,11,6582,374646.6118,5160,98504600,1.35,883769,18391.09375,8.153735331,1514,7775567.279,2819,118701000,2.82,2423010,16400,38.0528492,null,0,26.09,5,409960.9819,54256630328,0,116,10
