,date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l
0,2015-08-10,287821077.476,111405,3843850000.0,265.48,20979400.0,4325.0,27.2134821,null,1193011.28756,1999,43130000.0,0.713989,405283.0,27817.34375,31.165144438400002,1001,15193400.8177,3438,162062000.0,3.9,2239890.0,27700.0,70.60280182,null
1,2015-08-11,279935629.17,117239,3828500000.0,264.34,25433900.0,4200.0,26.6333475,null,1051922.38685,4945,42796500.0,0.708087,1463100.0,28027.8125,11.311448586,2342,14285029.3662,3470,164164000.0,3.95,3426300.0,28950.0,64.65151508,null
2,2015-08-12,312440693.008,116367,3920210000.0,270.6,26815400.0,3075.0,25.3674595,null,792332.720964,1993,64018400.0,1.06,2150620.0,27370.9375,32.5869924044,906,20040325.3657,3528,172371000.0,4.14,3519900.0,27850.0,55.46269005,null
3,2015-08-13,338626860.828,117871,3857090000.0,266.18,27685500.0,3750.0,25.04715135,null,2181178.65188,2807,73935400.0,1.22,4068680.0,28268.125,24.9291691099,1274,9130570.88745,3178,165366000.0,3.97,2409030.0,28300.0,55.44748774,null
4,2015-08-14,329148435.476,111030,3828340000.0,264.13,27091200.0,3375.0,24.33639928,null,4154762.7444800003,3144,109594000.0,1.81,4637030.0,31106.71875,14.354834112799999,1594,10526520.7925,3134,161665000.0,3.88,3157170.0,28050.0,56.81021133,null
5,2015-08-15,254521679.60799998,98422,3849530000.0,265.53,19321100.0,3350.0,20.99042465,null,8336306.7917100005,2264,109160000.0,1.8,2554360.0,28512.65625,8.83659302805,1313,9345429.68729,2933,167683000.0,4.02,2016290.0,28150.0,48.229856,null
6,2015-08-16,271676952.626,86754,3797330000.0,261.87,29717000.0,3600.0,18.2891781,null,2870425.71771,2422,102028000.0,1.68,3550790.0,27094.53125,6.677237924909999,1202,12313302.6355,3132,164023000.0,3.93,3197720.0,26950.0,51.37936622,null
7,2015-08-17,337862458.83599997,112090,3749260000.0,258.49,21617900.0,3575.0,23.30970771,null,3546720.03334,2503,95819700.0,1.58,1942830.0,28118.90625,7.64281183963,1249,13180759.0981,3691,165435000.0,3.96,2289060.0,29100.0,54.13494812,null
8,2015-08-18,406441634.748,120195,3742020000.0,257.93,42147200.0,3625.0,25.77426057,null,1889437.0763299998,2485,88143200.0,1.22,1485680.0,26162.8125,11.9060713402,1294,13259929.4385,3382,166400000.0,3.98,3464380.0,29200.0,47.25054477,null
9,2015-08-19,370984019.91800004,122075,3274860000.0,225.67,60869200.0,3875.0,24.59124418,null,1345002.2928799998,3224,84663900.0,1.17,1486240.0,27282.03125,15.4309506695,1350,25842085.1574,3867,145451000.0,3.48,5742670.0,29300.0,63.59306648,null
10,2015-08-20,311871518.46,116959,3293570000.0,226.9,32275000.0,3825.0,25.26291979,null,521679.807637,2266,90809000.0,1.25,2843760.0,21057.03125,6.85556694271,1167,14305181.6138,3099,145186000.0,3.47,2882900.0,30150.0,58.14137564,null
11,2015-08-21,323532723.473,115801,3417200000.0,235.35,23173800.0,4000.0,23.72098323,null,868536.958506,3888,107266000.0,1.48,2020970.0,26690.9375,7.85504172471,1425,8631636.66057,2690,150702000.0,3.6,1720630.0,29850.0,53.704388559899996,null
12,2015-08-22,264931064.697,105679,3379050000.0,232.66,23205900.0,3875.0,22.55638699,null,692395.557139,3562,101404000.0,1.4,948310.0,27550.46875,42.5471718296,1414,11872118.2883,3140,149233000.0,3.56,1913720.0,27250.0,68.88832783,null
13,2015-08-23,234347715.936,93952,3346760000.0,230.38,18406600.0,3400.0,20.39686001,null,687012.117519,4126,99894500.0,1.38,1589300.0,26255.625,8.0497676729,1570,18503173.008,3211,147266000.0,3.51,2066020.0,27950.0,54.23020079,null
14,2015-08-24,391154489.756,119017,3314640000.0,228.11,59220700.0,3850.0,25.229565,null,623945.2454220001,4423,97791600.0,1.35,924920.0,27333.28125,8.8762854198,1436,29950553.6762,4202,142301000.0,3.39,7278630.0,28200.0,59.20928953,null
15,2015-08-25,409074698.856,124916,3053250000.0,210.07,61089200.0,3400.0,25.83510482,null,499939.84730699996,4449,89321900.0,1.23,1307180.0,26736.09375,8.25975582511,1580,53115203.1246,5407,125279000.0,2.98,11404300.0,27000.0,70.13659455,null
16,2015-08-26,313401739.94,124715,3228540000.0,222.08,31808000.0,3950.0,25.4549747,null,496507.859703,4112,82384400.0,1.13,1056750.0,26137.96875,7.447729278560001,1527,36978474.898,4068,123884000.0,2.95,4551630.0,14775.0,63.14609755,null
17,2015-08-27,326706484.621,114961,3287220000.0,226.05,21905400.0,3600.0,23.15723921,null,319146.96049800003,5568,85106100.0,1.17,686662.0,24532.8125,8.67096304289,1591,18072496.5726,3252,123773000.0,2.95,1936130.0,13025.0,50.88148513,null
18,2015-08-28,329818436.78400004,121126,3268370000.0,224.7,31336600.0,3850.0,24.5461252,null,345519.947941,4723,83521700.0,1.15,721872.0,24225.15625,9.925148370510001,1531,27470153.8165,3450,119452000.0,2.84,4186540.0,13475.0,42.71173093,null
19,2015-08-29,218227093.08099997,113113,3368880000.0,231.55,17142500.0,4000.0,22.52730241,null,512109.426379,4109,86887600.0,1.19,375377.0,22525.0,5.50745152606,1375,13166383.3018,2950,122591000.0,2.92,1706060.0,13825.0,48.07339876,null
20,2015-08-30,168568324.061,94814,3345740000.0,229.9,19412600.0,3700.0,18.30473815,null,490782.17739799997,4547,86145900.0,1.18,1337650.0,21453.59375,5.634173742430001,1624,5865979.9852,2658,120755000.0,2.87,1497480.0,12875.0,43.90213456,null
21,2015-08-31,230375094.04,122092,3335220000.0,229.11,20710700.0,4000.0,26.96425504,null,508000.974842,5165,96251000.0,1.32,1447180.0,21293.4375,7.424533814380001,1515,12560389.3623,2828,120021000.0,2.85,1752920.0,14175.0,38.31950495,null
22,2015-09-01,291358010.307,135506,3352760000.0,230.26,20575200.0,3800.0,26.4941016,null,1916754.26487,5114,98617200.0,1.35,778862.0,20339.21875,7.84376985589,1555,7351852.330519999,3300,119819000.0,2.85,1376040.0,15675.0,48.23332336,null
23,2015-09-02,294800384.14,143310,3321180000.0,228.03,18760400.0,3950.0,48.03187173,null,374646.61176,5160,98504600.0,1.35,883769.0,18391.09375,8.153735331050001,1514,7775567.279360001,2819,118701000.0,2.82,2423010.0,16400.0,38.052849200000004,null
