Week,bitcoin: (Worldwide)
1/4/15,2
1/11/15,3
1/18/15,2
1/25/15,2
2/1/15,2
2/8/15,2
2/15/15,2
2/22/15,2
3/1/15,2
3/8/15,2
3/15/15,2
3/22/15,2
3/29/15,2
4/5/15,2
4/12/15,2
4/19/15,2
4/26/15,2
5/3/15,2
5/10/15,2
5/17/15,2
5/24/15,2
5/31/15,2
6/7/15,2
6/14/15,2
6/21/15,2
6/28/15,2
7/5/15,2
7/12/15,2
7/19/15,2
7/26/15,2
8/2/15,2
8/9/15,2
8/16/15,2
8/23/15,2
8/30/15,2
9/6/15,2
9/13/15,2
9/20/15,2
9/27/15,2
10/4/15,2
10/11/15,2
10/18/15,2
10/25/15,2
11/1/15,4
11/8/15,3
11/15/15,2
11/22/15,2
11/29/15,2
12/6/15,4
12/13/15,3
12/20/15,3
12/27/15,2
1/3/16,3
1/10/16,3
1/17/16,3
1/24/16,2
1/31/16,2
2/7/16,2
2/14/16,3
2/21/16,2
2/28/16,2
3/6/16,2
3/13/16,2
3/20/16,2
3/27/16,2
4/3/16,2
4/10/16,2
4/17/16,2
4/24/16,3
5/1/16,4
5/8/16,3
5/15/16,2
5/22/16,2
5/29/16,3
6/5/16,3
6/12/16,4
6/19/16,4
6/26/16,3
7/3/16,3
7/10/16,3
7/17/16,2
7/24/16,3
7/31/16,3
8/7/16,3
8/14/16,2
8/21/16,2
8/28/16,2
9/4/16,3
9/11/16,3
9/18/16,2
9/25/16,2
10/2/16,2
10/9/16,3
10/16/16,2
10/23/16,3
10/30/16,3
11/6/16,3
11/13/16,3
11/20/16,3
11/27/16,3
12/4/16,3
12/11/16,3
12/18/16,4
12/25/16,5
1/1/17,7
1/8/17,5
1/15/17,4
1/22/17,4
1/29/17,4
2/5/17,4
2/12/17,4
2/19/17,5
2/26/17,6
3/5/17,7
3/12/17,6
3/19/17,6
3/26/17,5
4/2/17,5
4/9/17,5
4/16/17,5
4/23/17,5
4/30/17,7
5/7/17,10
5/14/17,11
5/21/17,19
5/28/17,12
6/4/17,12
6/11/17,13
6/18/17,11
6/25/17,11
7/2/17,9
7/9/17,10
7/16/17,12
7/23/17,11
7/30/17,14
8/6/17,14
8/13/17,20
8/20/17,16
8/27/17,17
9/3/17,18
9/10/17,21
9/17/17,15
9/24/17,13
10/1/17,12
10/8/17,18
10/15/17,19
10/22/17,20
10/29/17,27
11/5/17,29
11/12/17,30
11/19/17,27
11/26/17,64
12/3/17,90
12/10/17,86
12/17/17,100
12/24/17,62
12/31/17,48
1/7/18,45
1/14/18,57
1/21/18,37
1/28/18,39
2/4/18,47
2/11/18,27
2/18/18,24
2/25/18,19
3/4/18,19
3/11/18,19
3/18/18,17
3/25/18,18
4/1/18,16
4/8/18,16
