Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
1/1/16,62,0.1,2,11
1/2/16,62,1,2,9
1/3/16,61,1,2,11
1/4/16,67,1,2,11
1/5/16,66,1,2,11
1/6/16,68,2,2,13
1/7/16,75,1,2,12
1/8/16,72,1,3,11
1/9/16,67,1,1,11
1/10/16,62,1,2,12
1/11/16,69,2,2,11
1/12/16,65,2,1,13
1/13/16,70,2,2,10
1/14/16,63,2,2,11
1/15/16,95,2,2,10
1/16/16,100,3,2,12
1/17/16,75,2,1,10
1/18/16,78,2,2,12
1/19/16,75,3,3,12
1/20/16,84,3,2,12
1/21/16,71,2,3,11
1/22/16,72,3,1,10
1/23/16,61,3,2,12
1/24/16,62,5,2,10
1/25/16,68,5,1,13
1/26/16,66,6,2,12
1/27/16,67,4,2,13
1/28/16,67,4,2,13
1/29/16,65,4,2,12
1/30/16,55,4,3,14
1/31/16,59,3,1,12
2/1/16,58,3,1,11
2/2/16,64,2,1,12
2/3/16,60,3,2,12
2/4/16,62,3,1,12
2/5/16,55,3,2,12
2/6/16,63,3,1,11
2/7/16,61,3,2,11
2/8/16,57,6,1,13
2/9/16,66,6,3,11
2/10/16,65,8,2,12
2/11/16,62,8,2,15
2/12/16,65,9,2,15
2/13/16,60,6,1,14
2/14/16,66,5,2,10
2/15/16,68,7,2,13
2/16/16,66,6,2,12
2/17/16,74,5,2,12
2/18/16,81,5,1,12
2/19/16,68,4,2,13
2/20/16,71,6,2,9
2/21/16,69,5,2,12
2/22/16,71,5,2,12
2/23/16,68,6,1,13
2/24/16,64,5,1,14
2/25/16,69,7,1,14
2/26/16,57,7,1,13
2/27/16,62,7,1,13
2/28/16,60,5,2,11
2/29/16,62,6,1,11
3/1/16,71,7,2,13
3/2/16,65,9,1,12
3/3/16,68,15,1,14
3/4/16,64,10,2,10
3/5/16,68,14,3,12
3/6/16,65,9,1,10
3/7/16,63,11,2,13
3/8/16,67,10,2,12
3/9/16,64,10,1,12
3/10/16,57,10,1,11
3/11/16,60,9,1,14
3/12/16,58,14,1,12
3/13/16,57,15,2,12
3/14/16,65,16,1,12
3/15/16,63,14,2,12
3/16/16,66,12,1,15
3/17/16,59,11,1,13
3/18/16,58,12,2,13
3/19/16,56,9,1,13
3/20/16,53,9,2,12
3/21/16,62,9,2,13
3/22/16,63,9,1,12
3/23/16,56,11,1,13
3/24/16,60,7,1,15
3/25/16,57,6,1,12
3/26/16,52,7,2,13
3/27/16,54,6,2,11
3/28/16,60,14,2,11
3/29/16,60,12,2,11
3/30/16,63,12,2,12
3/31/16,64,10,2,12
4/1/16,28,4,1,7
4/2/16,27,4,1,5
4/3/16,27,3,1,5
4/4/16,31,4,1,6
4/5/16,27,4,1,5
4/6/16,29,4,1,6
4/7/16,29,4,1,6
4/8/16,30,3,1,6
4/9/16,30,3,1,6
4/10/16,31,4,1,6
4/11/16,32,3,1,6
4/12/16,33,4,1,6
4/13/16,30,3,1,6
4/14/16,31,3,1,7
4/15/16,29,3,1,7
4/16/16,28,2,1,5
4/17/16,25,2,0.1,6
4/18/16,29,3,1,6
4/19/16,28,4,1,6
4/20/16,32,3,1,5
4/21/16,33,4,1,7
4/22/16,31,3,1,7
4/23/16,32,2,1,5
4/24/16,33,3,1,6
4/25/16,35,3,1,7
4/26/16,37,3,1,6
4/27/16,35,3,1,6
4/28/16,38,3,1,7
4/29/16,33,2,1,6
4/30/16,33,4,1,6
5/1/16,30,3,1,6
5/2/16,100,4,1,6
5/3/16,62,4,1,7
5/4/16,44,4,1,6
5/5/16,46,3,1,6
5/6/16,41,4,1,7
5/7/16,35,3,1,6
5/8/16,34,3,1,5
5/9/16,37,4,1,5
5/10/16,39,3,1,6
5/11/16,33,4,1,7
5/12/16,36,4,1,7
5/13/16,33,5,1,7
5/14/16,29,4,0.1,6
5/15/16,30,3,1,6
5/16/16,32,6,1,6
5/17/16,32,5,1,6
5/18/16,31,7,1,6
5/19/16,34,7,1,6
5/20/16,34,7,1,7
5/21/16,29,5,1,7
5/22/16,28,5,1,7
