Category: All categories

Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2017-10-01,7,1,<1,1
2017-10-02,8,1,<1,1
2017-10-03,8,1,<1,1
2017-10-04,8,1,<1,1
2017-10-05,8,1,<1,1
2017-10-06,7,1,<1,1
2017-10-07,7,1,<1,1
2017-10-08,8,1,<1,1
2017-10-09,9,1,<1,1
2017-10-10,9,1,<1,1
2017-10-11,9,1,<1,1
2017-10-12,15,2,1,1
2017-10-13,18,2,1,1
2017-10-14,12,2,1,1
2017-10-15,11,2,1,1
2017-10-16,12,2,1,2
2017-10-17,11,2,1,2
2017-10-18,12,2,<1,1
2017-10-19,11,1,<1,1
2017-10-20,12,1,<1,1
2017-10-21,14,1,<1,1
2017-10-22,12,1,<1,1
2017-10-23,14,2,<1,1
2017-10-24,15,2,<1,1
2017-10-25,13,1,<1,1
2017-10-26,13,1,<1,1
2017-10-27,11,1,<1,1
2017-10-28,10,1,<1,1
2017-10-29,10,1,<1,1
2017-10-30,12,1,<1,1
2017-10-31,15,1,1,1
2017-11-01,18,2,1,1
2017-11-02,23,2,1,1
2017-11-03,21,2,1,1
2017-11-04,17,2,<1,1
2017-11-05,17,2,1,1
2017-11-06,17,2,1,1
2017-11-07,16,2,1,1
2017-11-08,18,2,1,1
2017-11-09,17,2,1,1
2017-11-10,20,2,1,1
2017-11-11,19,2,1,1
2017-11-12,24,2,1,1
2017-11-13,22,2,1,1
2017-11-14,17,2,1,1
2017-11-15,17,2,1,1
2017-11-16,18,2,1,2
2017-11-17,20,2,1,1
2017-11-18,15,1,1,1
2017-11-19,14,2,1,1
2017-11-20,19,2,1,1
2017-11-21,20,2,1,1
2017-11-22,17,2,1,1
2017-11-23,16,3,1,1
2017-11-24,15,3,1,1
2017-11-25,16,3,1,1
2017-11-26,24,3,1,2
2017-11-27,32,4,2,2
2017-11-28,36,4,2,2
2017-11-29,61,5,3,3
2017-11-30,50,4,2,2
2017-12-01,37,3,2,2
2017-12-02,30,3,2,2
2017-12-03,30,3,2,2
2017-12-04,33,3,2,2
2017-12-05,35,4,2,2
2017-12-06,48,5,2,2
2017-12-07,94,6,3,3
2017-12-08,84,5,5,3
2017-12-09,57,5,7,3
2017-12-10,53,4,4,2
2017-12-11,63,5,7,3
2017-12-12,59,7,22,6
2017-12-13,53,8,13,11
2017-12-14,46,6,9,16
2017-12-15,42,5,6,13
2017-12-16,42,4,5,9
2017-12-17,47,5,5,7
2017-12-18,47,5,5,8
2017-12-19,51,7,6,8
2017-12-20,68,5,6,7
2017-12-21,53,5,5,14
2017-12-22,100,6,7,14
2017-12-23,62,4,4,8
2017-12-24,47,3,3,6
2017-12-25,40,3,2,6
2017-12-26,40,3,3,6
2017-12-27,37,3,3,9
2017-12-28,38,3,3,10
2017-12-29,33,3,2,19
2017-12-30,33,3,3,24
2017-12-31,28,3,2,13
