Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
4/1/16,28,4,1,7
4/2/16,27,4,1,5
4/3/16,27,3,1,5
4/4/16,31,4,1,6
4/5/16,27,4,1,5
4/6/16,29,4,1,6
4/7/16,29,4,1,6
4/8/16,30,3,1,6
4/9/16,30,3,1,6
4/10/16,31,4,1,6
4/11/16,32,3,1,6
4/12/16,33,4,1,6
4/13/16,30,3,1,6
4/14/16,31,3,1,7
4/15/16,29,3,1,7
4/16/16,28,2,1,5
4/17/16,25,2,<1,6
4/18/16,29,3,1,6
4/19/16,28,4,1,6
4/20/16,32,3,1,5
4/21/16,33,4,1,7
4/22/16,31,3,1,7
4/23/16,32,2,1,5
4/24/16,33,3,1,6
4/25/16,35,3,1,7
4/26/16,37,3,1,6
4/27/16,35,3,1,6
4/28/16,38,3,1,7
4/29/16,33,2,1,6
4/30/16,33,4,1,6
5/1/16,30,3,1,6
5/2/16,100,4,1,6
5/3/16,62,4,1,7
5/4/16,44,4,1,6
5/5/16,46,3,1,6
5/6/16,41,4,1,7
5/7/16,35,3,1,6
5/8/16,34,3,1,5
5/9/16,37,4,1,5
5/10/16,39,3,1,6
5/11/16,33,4,1,7
5/12/16,36,4,1,7
5/13/16,33,5,1,7
5/14/16,29,4,<1,6
5/15/16,30,3,1,6
5/16/16,32,6,1,6
5/17/16,32,5,1,6
5/18/16,31,7,1,6
5/19/16,34,7,1,6
5/20/16,34,7,1,7
5/21/16,29,5,1,7
5/22/16,28,5,1,7
5/23/16,32,6,<1,7
5/24/16,33,5,1,6
5/25/16,34,7,1,7
5/26/16,33,6,1,6
5/27/16,35,6,1,6
5/28/16,40,6,1,5
5/29/16,47,4,1,7
5/30/16,48,5,1,5
5/31/16,44,6,1,6
6/1/16,42,6,1,6
6/2/16,38,6,1,6
6/3/16,46,6,1,6
6/4/16,44,5,1,6
6/5/16,40,5,1,5
6/6/16,41,4,<1,6
6/7/16,44,5,1,6
6/8/16,38,5,1,5
6/9/16,39,5,1,6
6/10/16,35,5,1,6
6/11/16,36,3,1,5
6/12/16,54,5,1,5
6/13/16,70,8,1,6
6/14/16,57,7,2,7
6/15/16,50,8,1,7
6/16/16,64,7,1,5
6/17/16,62,19,1,5
6/18/16,55,16,2,5
6/19/16,50,11,2,6
6/20/16,52,12,2,6
6/21/16,57,8,2,5
6/22/16,54,9,1,6
6/23/16,54,8,1,7
6/24/16,77,6,1,6
6/25/16,53,6,1,5
6/26/16,44,4,1,7
6/27/16,50,5,1,6
6/28/16,45,6,1,5
6/29/16,42,6,1,5
6/30/16,44,6,1,6
