Category: All categories

Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2017-04-01,17,2,1,2
2017-04-02,17,2,1,4
2017-04-03,19,3,1,4
2017-04-04,19,3,1,3
2017-04-05,17,3,1,3
2017-04-06,18,3,2,2
2017-04-07,17,2,1,3
2017-04-08,18,2,1,2
2017-04-09,17,2,1,2
2017-04-10,18,2,1,3
2017-04-11,19,2,1,2
2017-04-12,19,2,2,2
2017-04-13,19,3,1,2
2017-04-14,17,2,1,2
2017-04-15,15,2,1,2
2017-04-16,16,2,1,2
2017-04-17,18,2,1,2
2017-04-18,18,3,1,2
2017-04-19,18,2,1,2
2017-04-20,18,2,1,3
2017-04-21,17,2,1,2
2017-04-22,17,2,1,2
2017-04-23,16,2,1,2
2017-04-24,17,3,1,2
2017-04-25,19,2,1,2
2017-04-26,21,3,1,2
2017-04-27,22,4,1,3
2017-04-28,20,5,1,3
2017-04-29,20,5,1,3
2017-04-30,19,5,1,3
2017-05-01,24,8,1,3
2017-05-02,26,6,1,3
2017-05-03,26,5,2,3
2017-05-04,33,7,3,4
2017-05-05,31,8,3,4
2017-05-06,26,5,2,4
2017-05-07,25,5,2,5
2017-05-08,28,5,2,7
2017-05-09,37,7,2,6
2017-05-10,34,5,4,5
2017-05-11,40,4,3,5
2017-05-12,43,4,2,4
2017-05-13,45,4,2,4
2017-05-14,38,4,1,4
2017-05-15,54,4,2,6
2017-05-16,49,4,2,8
2017-05-17,39,4,2,8
2017-05-18,36,4,2,7
2017-05-19,41,9,2,6
2017-05-20,40,8,2,6
2017-05-21,41,10,2,6
2017-05-22,65,21,3,7
2017-05-23,71,17,3,7
2017-05-24,76,20,4,7
2017-05-25,100,24,4,7
2017-05-26,80,17,3,7
2017-05-27,67,13,2,6
2017-05-28,53,11,2,5
2017-05-29,50,12,2,5
2017-05-30,49,16,2,6
2017-05-31,48,19,2,6
2017-06-01,47,16,2,7
2017-06-02,42,13,2,6
2017-06-03,38,12,2,5
2017-06-04,37,13,2,4
2017-06-05,42,15,2,5
2017-06-06,59,18,3,5
2017-06-07,52,16,4,5
2017-06-08,45,15,7,5
2017-06-09,44,15,8,5
2017-06-10,42,21,10,4
2017-06-11,46,24,8,5
2017-06-12,57,36,5,6
2017-06-13,50,29,4,6
2017-06-14,49,27,4,6
2017-06-15,58,29,3,6
2017-06-16,50,20,4,5
2017-06-17,41,17,8,5
2017-06-18,38,16,5,4
2017-06-19,39,17,6,5
2017-06-20,42,20,4,7
2017-06-21,43,26,4,6
2017-06-22,44,27,4,5
2017-06-23,39,20,4,5
2017-06-24,39,16,3,4
2017-06-25,36,20,3,5
2017-06-26,45,28,4,5
2017-06-27,51,23,3,4
2017-06-28,49,20,3,5
2017-06-29,41,17,2,4
2017-06-30,35,14,2,4
