Day,cyber attack
1/1/15,9
1/2/15,30
1/3/15,27
1/4/15,16
1/5/15,23
1/6/15,23
1/7/15,31
1/8/15,19
1/9/15,28
1/10/15,12
1/11/15,18
1/12/15,52
1/13/15,45
1/14/15,29
1/15/15,28
1/16/15,35
1/17/15,20
1/18/15,10
1/19/15,26
1/20/15,26
1/21/15,29
1/22/15,19
1/23/15,28
1/24/15,10
1/25/15,16
1/26/15,18
1/27/15,29
1/28/15,25
1/29/15,13
1/30/15,16
1/31/15,6
2/1/15,14
2/2/15,17
2/3/15,25
2/4/15,14
2/5/15,100
2/6/15,72
2/7/15,26
2/8/15,16
2/9/15,32
2/10/15,49
2/11/15,22
2/12/15,31
2/13/15,25
2/14/15,22
2/15/15,12
2/16/15,40
2/17/15,31
2/18/15,28
2/19/15,22
2/20/15,21
2/21/15,16
2/22/15,12
2/23/15,30
2/24/15,20
2/25/15,27
2/26/15,27
2/27/15,24
2/28/15,12
3/1/15,2
3/2/15,15
3/3/15,18
3/4/15,20
3/5/15,20
3/6/15,7
3/7/15,18
3/8/15,12
3/9/15,25
3/10/15,25
3/11/15,15
3/12/15,19
3/13/15,24
3/14/15,10
3/15/15,15
3/16/15,23
3/17/15,34
3/18/15,45
3/19/15,45
3/20/15,30
3/21/15,14
3/22/15,21
3/23/15,23
3/24/15,28
3/25/15,37
3/26/15,8
3/27/15,32
3/28/15,17
3/29/15,29
3/30/15,22
3/31/15,39
4/1/15,24
4/2/15,23
4/3/15,9
4/4/15,9
4/5/15,11
4/6/15,51
4/7/15,50
4/8/15,31
4/9/15,44
4/10/15,31
4/11/15,9
4/12/15,20
4/13/15,37
4/14/15,20
4/15/15,17
4/16/15,26
4/17/15,29
4/18/15,11
4/19/15,14
4/20/15,24
4/21/15,23
4/22/15,24
4/23/15,25
4/24/15,22
4/25/15,9
4/26/15,22
4/27/15,26
4/28/15,17
4/29/15,26
4/30/15,30
5/1/15,26
5/2/15,13
5/3/15,14
5/4/15,32
5/5/15,12
5/6/15,31
5/7/15,30
5/8/15,11
5/9/15,7
5/10/15,6
5/11/15,88
5/12/15,30
5/13/15,20
5/14/15,19
5/15/15,19
5/16/15,9
5/17/15,11
5/18/15,12
5/19/15,23
5/20/15,23
5/21/15,25
5/22/15,6
5/23/15,11
5/24/15,17
5/25/15,6
5/26/15,12
5/27/15,27
5/28/15,12
5/29/15,13
5/30/15,15
5/31/15,18
6/1/15,9
6/2/15,14
6/3/15,14
6/4/15,35
6/5/15,100
6/6/15,17
6/7/15,26
6/8/15,30
6/9/15,23
6/10/15,17
6/11/15,14
6/12/15,31
6/13/15,11
6/14/15,20
6/15/15,10
6/16/15,21
6/17/15,81
6/18/15,28
6/19/15,23
6/20/15,13
6/21/15,16
6/22/15,9
6/23/15,21
6/24/15,12
6/25/15,33
6/26/15,14
6/27/15,7
6/28/15,7
6/29/15,22
6/30/15,15
7/1/15,17
7/2/15,6
7/3/15,1
7/4/15,4
7/5/15,3
7/6/15,3
7/7/15,5
7/8/15,100
7/9/15,54
7/10/15,16
7/11/15,8
7/12/15,5
7/13/15,6
7/14/15,12
7/15/15,8
7/16/15,7
7/17/15,9
7/18/15,4
7/19/15,4
7/20/15,7
7/21/15,5
7/22/15,14
7/23/15,6
7/24/15,6
7/25/15,4
7/26/15,6
7/27/15,6
7/28/15,10
7/29/15,6
7/30/15,8
7/31/15,4
8/1/15,3
8/2/15,3
8/3/15,6
8/4/15,8
8/5/15,10
8/6/15,8
8/7/15,15
8/8/15,19
8/9/15,10
8/10/15,10
8/11/15,11
8/12/15,8
8/13/15,7
8/14/15,4
8/15/15,6
8/16/15,7
8/17/15,2
8/18/15,8
8/19/15,7
8/20/15,5
8/21/15,5
8/22/15,2
8/23/15,2
8/24/15,4
8/25/15,4
8/26/15,7
8/27/15,7
8/28/15,9
8/29/15,3
8/30/15,6
8/31/15,5
9/1/15,4
9/2/15,5
9/3/15,5
9/4/15,3
9/5/15,3
9/6/15,4
9/7/15,4
9/8/15,2
9/9/15,8
9/10/15,9
9/11/15,9
9/12/15,3
9/13/15,5
9/14/15,5
9/15/15,6
9/16/15,9
9/17/15,8
9/18/15,7
9/19/15,4
9/20/15,4
9/21/15,16
9/22/15,8
9/23/15,6
9/24/15,2
9/25/15,9
9/26/15,3
9/27/15,3
9/28/15,15
9/29/15,11
9/30/15,11
10/1/15,5
10/2/15,3
10/3/15,4
10/4/15,4
10/5/15,8
10/6/15,6
10/7/15,6
10/8/15,5
10/9/15,5
10/10/15,4
10/11/15,2
10/12/15,4
10/13/15,6
10/14/15,4
10/15/15,6
10/16/15,4
10/17/15,2
10/18/15,3
10/19/15,7
10/20/15,6
10/21/15,4
10/22/15,42
10/23/15,100
10/24/15,29
10/25/15,9
10/26/15,15
10/27/15,17
10/28/15,13
10/29/15,14
10/30/15,11
10/31/15,3
11/1/15,5
11/2/15,10
11/3/15,10
11/4/15,9
11/5/15,6
11/6/15,6
11/7/15,7
11/8/15,3
11/9/15,9
11/10/15,11
11/11/15,8
11/12/15,5
11/13/15,8
11/14/15,7
11/15/15,7
11/16/15,18
11/17/15,39
11/18/15,16
11/19/15,11
11/20/15,10
11/21/15,6
11/22/15,7
11/23/15,8
11/24/15,10
11/25/15,8
11/26/15,1
11/27/15,6
11/28/15,5
11/29/15,7
11/30/15,12
12/1/15,8
12/2/15,15
12/3/15,10
12/4/15,7
12/5/15,2
12/6/15,5
12/7/15,4
12/8/15,12
12/9/15,6
12/10/15,7
12/11/15,7
12/12/15,3
12/13/15,6
12/14/15,7
12/15/15,7
12/16/15,5
12/17/15,7
12/18/15,2
12/19/15,5
12/20/15,2
12/21/15,7
12/22/15,6
12/23/15,7
12/24/15,7
12/25/15,16
12/26/15,6
12/27/15,5
12/28/15,4
12/29/15,4
12/30/15,5
12/31/15,8
1/1/16,37
1/2/16,44
1/3/16,34
1/4/16,48
1/5/16,71
1/6/16,26
1/7/16,42
1/8/16,46
1/9/16,21
1/10/16,14
1/11/16,34
1/12/16,28
1/13/16,31
1/14/16,47
1/15/16,58
