Category: All categories

Day,cyber attack: (Worldwide)
2015-01-01,9
2015-01-02,30
2015-01-03,27
2015-01-04,16
2015-01-05,23
2015-01-06,23
2015-01-07,31
2015-01-08,19
2015-01-09,28
2015-01-10,12
2015-01-11,18
2015-01-12,52
2015-01-13,45
2015-01-14,29
2015-01-15,28
2015-01-16,35
2015-01-17,20
2015-01-18,10
2015-01-19,26
2015-01-20,26
2015-01-21,29
2015-01-22,19
2015-01-23,28
2015-01-24,10
2015-01-25,16
2015-01-26,18
2015-01-27,29
2015-01-28,25
2015-01-29,13
2015-01-30,16
2015-01-31,6
2015-02-01,14
2015-02-02,17
2015-02-03,25
2015-02-04,14
2015-02-05,100
2015-02-06,72
2015-02-07,26
2015-02-08,16
2015-02-09,32
2015-02-10,49
2015-02-11,22
2015-02-12,31
2015-02-13,25
2015-02-14,22
2015-02-15,12
2015-02-16,40
2015-02-17,31
2015-02-18,28
2015-02-19,22
2015-02-20,21
2015-02-21,16
2015-02-22,12
2015-02-23,30
2015-02-24,20
2015-02-25,27
2015-02-26,27
2015-02-27,24
2015-02-28,12
2015-03-01,2
2015-03-02,15
2015-03-03,18
2015-03-04,20
2015-03-05,20
2015-03-06,7
2015-03-07,18
2015-03-08,12
2015-03-09,25
2015-03-10,25
2015-03-11,15
2015-03-12,19
2015-03-13,24
2015-03-14,10
2015-03-15,15
2015-03-16,23
2015-03-17,34
2015-03-18,45
2015-03-19,45
2015-03-20,30
2015-03-21,14
2015-03-22,21
2015-03-23,23
2015-03-24,28
2015-03-25,37
2015-03-26,8
2015-03-27,32
2015-03-28,17
2015-03-29,29
2015-03-30,22
2015-03-31,39
