Category: All categories

Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2018-01-01,46,4,3,17
2018-01-02,54,8,4,22
2018-01-03,54,8,4,33
2018-01-04,52,10,5,42
2018-01-05,52,8,4,33
2018-01-06,46,7,5,22
2018-01-07,45,9,4,19
2018-01-08,51,11,4,25
2018-01-09,48,10,4,23
2018-01-10,50,12,4,24
2018-01-11,56,10,3,23
2018-01-12,46,8,3,16
2018-01-13,41,8,3,12
2018-01-14,37,7,3,11
2018-01-15,38,7,2,11
2018-01-16,75,10,4,18
2018-01-17,100,11,4,17
2018-01-18,69,8,3,14
2018-01-19,51,6,2,10
2018-01-20,42,5,2,8
2018-01-21,38,5,2,7
2018-01-22,46,5,2,8
2018-01-23,44,5,2,8
2018-01-24,41,5,2,7
2018-01-25,38,5,2,6
2018-01-26,39,4,2,6
2018-01-27,32,4,2,5
2018-01-28,31,5,2,5
2018-01-29,32,5,2,6
2018-01-30,36,4,2,6
2018-01-31,38,5,2,6
2018-02-01,49,5,2,7
2018-02-02,64,6,2,8
2018-02-03,43,4,2,6
2018-02-04,37,4,3,5
2018-02-05,64,6,2,6
2018-02-06,81,6,2,7
2018-02-07,51,4,2,6
2018-02-08,43,4,2,5
2018-02-09,38,3,2,5
2018-02-10,30,3,2,6
2018-02-11,27,3,1,5
2018-02-12,31,3,1,5
2018-02-13,28,3,1,4
2018-02-14,29,3,5,5
2018-02-15,31,3,4,5
2018-02-16,27,3,3,4
2018-02-17,26,3,3,5
2018-02-18,27,3,4,4
2018-02-19,25,3,3,4
2018-02-20,28,3,4,4
2018-02-21,28,3,3,4
2018-02-22,26,3,2,4
2018-02-23,23,2,2,3
2018-02-24,20,2,1,3
2018-02-25,19,2,2,3
2018-02-26,21,2,2,3
2018-02-27,22,2,2,3
2018-02-28,21,2,1,3
2018-03-01,19,2,1,3
2018-03-02,19,2,1,3
2018-03-03,19,2,1,3
2018-03-04,17,2,1,3
2018-03-05,19,2,1,5
2018-03-06,19,2,1,4
2018-03-07,22,2,1,3
2018-03-08,22,2,1,3
2018-03-09,24,2,1,3
2018-03-10,17,2,1,2
2018-03-11,17,2,1,2
2018-03-12,20,2,1,3
2018-03-13,19,2,1,3
2018-03-14,22,2,1,3
2018-03-15,24,2,1,3
2018-03-16,20,2,1,3
2018-03-17,18,2,1,2
2018-03-18,22,3,1,3
2018-03-19,21,2,1,3
2018-03-20,19,2,1,3
2018-03-21,19,2,1,2
2018-03-22,18,2,1,2
2018-03-23,17,2,1,2
2018-03-24,15,1,1,2
2018-03-25,15,2,1,2
2018-03-26,20,2,1,2
2018-03-27,19,2,1,2
2018-03-28,17,2,1,3
