Category: All categories

Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2017-07-01,28,11,1,3
2017-07-02,29,11,2,3
2017-07-03,30,12,3,3
2017-07-04,29,11,4,3
2017-07-05,30,11,3,3
2017-07-06,30,11,3,3
2017-07-07,31,12,2,3
2017-07-08,28,11,3,3
2017-07-09,28,9,2,3
2017-07-10,33,15,3,4
2017-07-11,36,18,3,4
2017-07-12,35,15,2,4
2017-07-13,33,12,2,3
2017-07-14,31,10,2,3
2017-07-15,38,11,2,3
2017-07-16,43,15,2,3
2017-07-17,40,13,2,3
2017-07-18,37,14,2,4
2017-07-19,37,14,2,4
2017-07-20,41,12,2,4
2017-07-21,40,11,2,4
2017-07-22,35,8,2,4
2017-07-23,34,8,2,3
2017-07-24,36,9,2,4
2017-07-25,36,9,2,4
2017-07-26,37,9,2,3
2017-07-27,34,8,2,3
2017-07-28,38,9,2,3
2017-07-29,31,8,2,3
2017-07-30,32,7,2,3
2017-07-31,40,7,2,3
2017-08-01,70,9,2,4
2017-08-02,64,9,2,4
2017-08-03,43,7,1,3
2017-08-04,40,7,2,3
2017-08-05,50,8,2,4
2017-08-06,43,9,2,4
2017-08-07,47,10,2,4
2017-08-08,51,11,2,4
2017-08-09,45,12,2,4
2017-08-10,43,10,2,4
2017-08-11,47,9,2,3
2017-08-12,56,9,2,4
2017-08-13,67,10,2,4
2017-08-14,74,12,3,4
2017-08-15,74,10,2,4
2017-08-16,67,10,2,4
2017-08-17,61,10,2,4
2017-08-18,63,9,2,4
2017-08-19,56,8,2,3
2017-08-20,51,7,2,4
2017-08-21,53,10,2,4
2017-08-22,60,9,2,8
2017-08-23,56,9,3,11
2017-08-24,51,8,4,9
2017-08-25,53,8,3,6
2017-08-26,47,7,2,5
2017-08-27,44,7,5,5
2017-08-28,48,9,5,6
2017-08-29,55,10,4,6
2017-08-30,58,13,4,6
2017-08-31,61,11,6,6
2017-09-01,66,13,10,7
2017-09-02,61,12,6,6
2017-09-03,56,10,5,5
2017-09-04,67,14,5,5
2017-09-05,69,11,4,5
2017-09-06,59,10,4,5
2017-09-07,55,9,3,4
2017-09-08,59,8,4,5
2017-09-09,48,7,3,4
2017-09-10,48,8,3,4
2017-09-11,54,8,3,4
2017-09-12,52,8,3,5
2017-09-13,72,9,3,4
2017-09-14,88,10,4,4
2017-09-15,100,10,4,4
2017-09-16,65,7,2,3
2017-09-17,52,6,2,3
2017-09-18,62,9,3,4
2017-09-19,57,9,2,4
2017-09-20,49,7,2,4
2017-09-21,52,7,3,3
2017-09-22,48,6,2,4
2017-09-23,39,5,2,3
2017-09-24,37,6,1,3
2017-09-25,43,6,2,3
2017-09-26,42,6,2,4
2017-09-27,46,6,2,5
2017-09-28,43,6,2,4
2017-09-29,42,6,2,4
2017-09-30,39,5,2,3
