Category: All categories

Day,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
2015-01-01,45,<1,3
2015-01-02,51,<1,2
2015-01-03,54,<1,3
2015-01-04,62,<1,2
2015-01-05,64,1,2
2015-01-06,69,<1,2
2015-01-07,55,1,2
2015-01-08,50,1,2
2015-01-09,53,1,1
2015-01-10,53,<1,2
2015-01-11,45,<1,3
2015-01-12,50,1,2
2015-01-13,62,<1,1
2015-01-14,100,1,3
2015-01-15,80,1,2
2015-01-16,69,<1,1
2015-01-17,57,<1,2
2015-01-18,47,1,1
2015-01-19,48,1,2
2015-01-20,53,1,1
2015-01-21,56,1,2
2015-01-22,54,<1,1
2015-01-23,55,<1,2
2015-01-24,49,<1,2
2015-01-25,51,<1,3
2015-01-26,73,1,3
2015-01-27,60,1,2
2015-01-28,59,<1,2
2015-01-29,53,<1,3
2015-01-30,54,<1,2
2015-01-31,45,<1,1
2015-02-01,50,<1,2
2015-02-02,46,<1,1
2015-02-03,49,<1,1
2015-02-04,50,<1,2
2015-02-05,53,<1,2
2015-02-06,52,<1,2
2015-02-07,56,1,2
2015-02-08,56,<1,2
2015-02-09,54,<1,1
2015-02-10,54,<1,1
2015-02-11,53,0,2
2015-02-12,52,<1,2
2015-02-13,50,<1,2
2015-02-14,48,<1,1
2015-02-15,49,1,1
2015-02-16,49,<1,2
2015-02-17,49,<1,2
2015-02-18,53,<1,2
2015-02-19,55,<1,2
2015-02-20,77,<1,2
2015-02-21,49,1,2
2015-02-22,48,1,2
2015-02-23,49,<1,2
2015-02-24,45,1,1
2015-02-25,45,<1,2
2015-02-26,47,1,1
2015-02-27,46,0,2
2015-02-28,45,<1,2
2015-03-01,48,<1,2
2015-03-02,48,<1,2
2015-03-03,53,1,1
2015-03-04,51,<1,2
2015-03-05,54,1,2
2015-03-06,60,1,2
2015-03-07,61,<1,3
2015-03-08,52,1,1
2015-03-09,56,<1,2
2015-03-10,52,1,3
2015-03-11,54,1,2
2015-03-12,57,<1,2
2015-03-13,51,0,2
2015-03-14,45,<1,2
2015-03-15,48,<1,2
2015-03-16,50,<1,1
2015-03-17,48,<1,1
2015-03-18,52,<1,2
2015-03-19,50,<1,1
2015-03-20,46,1,2
2015-03-21,46,1,1
2015-03-22,45,<1,1
2015-03-23,49,1,2
2015-03-24,46,<1,1
2015-03-25,51,<1,2
2015-03-26,49,1,1
2015-03-27,43,<1,1
2015-03-28,43,<1,1
2015-03-29,41,1,2
2015-03-30,50,<1,1
2015-03-31,47,1,2
