Category: All categories

Week,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2017-01-01,7,<1,<1,<1
2017-01-08,5,<1,<1,<1
2017-01-15,4,<1,<1,<1
2017-01-22,4,<1,<1,<1
2017-01-29,4,<1,<1,<1
2017-02-05,4,<1,<1,<1
2017-02-12,4,<1,<1,<1
2017-02-19,5,<1,<1,<1
2017-02-26,6,1,<1,<1
2017-03-05,6,<1,<1,<1
2017-03-12,5,1,<1,1
2017-03-19,5,1,<1,1
2017-03-26,5,1,<1,1
2017-04-02,5,1,<1,1
2017-04-09,5,1,<1,1
2017-04-16,4,1,<1,1
2017-04-23,5,1,<1,1
2017-04-30,7,2,<1,1
2017-05-07,9,1,1,1
2017-05-14,11,1,<1,2
2017-05-21,18,5,1,2
2017-05-28,12,4,1,1
2017-06-04,12,4,1,1
2017-06-11,13,7,1,1
2017-06-18,10,5,1,1
2017-06-25,11,5,1,1
2017-07-02,9,3,1,1
2017-07-09,10,4,1,1
2017-07-16,11,4,1,1
2017-07-23,11,3,1,1
2017-07-30,15,2,1,1
2017-08-06,14,3,1,1
2017-08-13,19,3,1,1
2017-08-20,16,3,1,2
2017-08-27,17,3,2,2
2017-09-03,17,3,1,1
2017-09-10,21,3,1,1
2017-09-17,15,2,1,1
2017-09-24,12,2,1,1
2017-10-01,12,2,1,1
2017-10-08,18,2,1,2
2017-10-15,20,3,1,2
2017-10-22,20,2,1,1
2017-10-29,27,3,1,1
2017-11-05,29,3,1,1
2017-11-12,30,3,1,2
2017-11-19,27,4,1,2
2017-11-26,64,6,3,3
2017-12-03,88,7,5,4
2017-12-10,81,9,15,14
2017-12-17,100,8,8,16
2017-12-24,61,5,4,19
2017-12-31,46,7,4,26
