"Tỷ số giới tính của dân số phân theo địa phương chia theo Địa phương và Năm"

" ","2007"
"CẢ NƯỚC",96.9
"Đồng bằng sông Hồng",96.3
"Hà Nội",100.5
"Hà Tây",93.0
"Vĩnh Phúc",98.1
"Bắc Ninh",94.9
"Quảng Ninh",102.6
"Hải Dương",95.5
"Hải Phòng",97.7
"Hưng Yên",93.6
"Thái Bình",92.5
"Hà Nam",94.1
"Nam Định",95.3
"Ninh Bình",96.9
"Trung du và miền núi phía Bắc",98.8
"Hà Giang",98.1
"Cao Bằng",96.4
"Bắc Kạn",100.3
"Tuyên Quang",98.1
"Lào Cai",100.0
"Yên Bái",98.9
"Thái Nguyên",99.9
"Lạng Sơn",98.9
"Bắc Giang",97.8
"Phú Thọ",96.7
"Điện Biên",100.7
"Lai Châu",101.1
"Sơn La",101.1
"Hòa Bình",98.9
"Bắc Trung Bộ và duyên hải miền Trung",96.7
"Thanh Hóa",96.2
"Nghệ An",96.2
"Hà Tĩnh",98.6
"Quảng Bình",99.3
"Quảng Trị",97.8
"Thừa Thiên - Huế",96.5
"Đà Nẵng",93.7
"Quảng Nam",93.9
"Quảng Ngãi",96.3
"Bình Định",95.2
"Phú Yên",98.5
"Khánh Hòa",98.6
"Ninh Thuận",97.9
"Bình Thuận",99.5
"Tây Nguyên",101.4
"Kon Tum",100.9
"Gia Lai",103.6
"Đắk Lắk",101.8
"Đắk Nông",98.4
"Lâm Đồng",100.1
"Đông Nam Bộ",95.7
"Bình Phước",103.8
"Tây Ninh",96.8
"Bình Dương",91.9
"Đồng Nai",98.4
"Bà Rịa - Vũng Tàu",100.4
"TP. Hồ Chí Minh",93.7
"Đồng bằng sông Cửu Long",96.3
"Long An",98.8
"Tiền Giang",94.3
"Bến Tre",94.7
"Trà Vinh",98.1
"Vĩnh Long",94.6
"Đồng Tháp",95.3
"An Giang",96.7
"Kiên Giang",97.3
"Cần Thơ",97.2
"Hậu Giang",98.0
"Sóc Trăng",95.1
"Bạc Liêu",94.6
"Cà Mau",97.3

"Từ năm 2008 tới nay, số liệu thành phố Hà Nội bao gồm cả tỉnh "
"Hà Tây. "
""

