count,date,btc_index,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count_vendors,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,VIX Close,cyber_attack_index,hashrate,diff,dum_future,btc_per,cyber_attack
1,12/12/17,59,7,22,45542037889,372821,2.83E+11,16919.8,14603800000,1950,537.9440791,null,29,10974,7379303372,1318300,50286400000,522.29,5179830000,17280.28125,1559.061195,413363,7638160590,156717,11528600000,212.46,6961680000,14250,360.900449,null,"18,020",9.92,41,13523349.5,1.59E+12,1,5074,123
2,12/13/17,53,8,13,48353069371,424393,2.93E+11,17500,12976900000,2325,604.2979452,null,28,11002,7121890999,1137119,62105600000,644.91,4524540000,18906.09375,1445.2853,439381,7687014672,136446,17116500000,315.36,3409790000,15525,482.9175264,null,"17,055",10.18,37,12337090.77,1.59E+12,1,4558,111
3,12/14/17,46,6,9,37521936560,490459,2.74E+11,16384.6,13777400000,2312.5,644.6079443,null,37,11039,8546375984,942559,67482900000,700.59,3821580000,20787.65625,1714.108153,464401,3748563097,143609,16352400000,301.2,2114880000,15750,321.9625766,null,"16,800",10.49,47,14709608.23,1.59E+12,1,3956,141
4,12/15/17,42,5,6,35932354892,405507,2.78E+11,16601.3,14310000000,2112.499999,592.7039343,null,20,11059,7038718838,904346,67090900000,696.38,2758710000,20829.84375,1455.136989,428066,4179439512,116514,15258500000,280.97,2599940000,15300,128.0333299,null,"18,105",9.42,33,14630524.31,1.59E+12,1,3612,99
5,12/16/17,42,4,5,34015547808,364051,2.97E+11,17760.3,12740600000,2137.5,534.0113834,null,22,11081,5698556827,899857,66124200000,686.19,2165690000,20382.375,1468.251251,403701,2582663925,108366,16260700000,299.34,1291380000,17075,115.7910757,null,"18,828",9.42,23,13365181.67,1.59E+12,1,3612,69
6,12/17/17,47,5,5,37469204186,391725,3.26E+11,19475.8,13314600000,2312.5,535.4386753,null,7,11088,5619825553,876574,67106400000,696.24,2147390000,20346.9375,1172.634386,401425,2898540083,107871,16398800000,301.78,1703580000,15150,126.3619212,null,"19,550",9.42,35,13523349.5,1.59E+12,1,4700,105
7,12/18/17,47,5,5,46053266584,394057,3.20E+11,19106.4,14839500000,2275,587.1254837,null,13,11101,6265539681,984021,69578400000,721.73,3249230000,20561.71875,1161.928902,470458,2792750736,110604,17336500000,318.95,1966600000,15100,200.262691,null,"19,055",9.53,24,14630524.31,1.59E+12,1,4700,72
8,12/19/17,51,7,6,27921654891,378482,3.20E+11,19118.3,16894500000,1750,662.5955054,null,21,11122,8953367689,1092234,76552200000,793.9,4096550000,20631.375,1487.482223,503282,5938053298,138052,19525500000,359.13,2150480000,13425,143.0726058,null,"17,555",10.03,88,16946489.24,1.72E+12,1,5100,264
9,12/20/17,68,5,6,28925969429,370141,2.98E+11,17760.3,22149700000,1700,911.5917428,null,15,11137,10787319533,986104,79810600000,827.52,3969940000,20631.375,1731.489837,493821,5435595188,143881,19012500000,349.6,2104060000,14075,673.7298404,null,"16,700",9.72,46,13035760.95,1.87E+12,1,6800,138
10,12/21/17,53,5,5,21021432317,335350,2.79E+11,16642.4,16516600000,1650,1128.76167,null,13,11150,10869093025,1072665,79125300000,820.24,3569060000,20414.8125,1760.206791,538200,11756695462,162372,17116600000,314.66,1555940000,14100,752.6136196,null,"15,290",9.62,41,12663310.64,1.87E+12,1,5300,123
11,12/22/17,100,6,7,21320968720,380493,2.66E+11,15898,22198000000,1937.5,1495.946477,null,15,11165,11834908291,1103523,79374400000,822.64,4977710000,20571.28125,1640.148074,568083,4639956648,149956,17371200000,319.26,2938040000,14925,534.8413266,null,"13,960",9.9,24,12290860.32,1.87E+12,1,10000,72
12,12/23/17,62,4,4,17876947895,308072,2.34E+11,13948.7,13086000000,1737.5,1065.615595,null,8,11173,6485777934,918881,65752100000,681.32,2480340000,20835.28125,1207.05967,451497,2583424365,117738,14655200000,269.27,1352580000,15100,335.6083963,null,"13,875",9.9,10,14432449.62,1.87E+12,1,6200,30
13,12/24/17,47,3,3,16206983431,279371,2.45E+11,14608.2,11572300000,1900,881.1213628,null,7,11180,5365151225,758234,69671200000,721.77,2300550000,20504.15625,1024.10605,346299,1642982738,81111,15842900000,291.01,1122910000,15375,202.998965,null,"13,833",9.9,18,12942648.37,1.87E+12,1,2914,18
