Category: All categories

Day,cyber attack: (Worldwide)
2016-04-01,45
2016-04-02,40
2016-04-03,45
2016-04-04,47
2016-04-05,87
2016-04-06,100
2016-04-07,66
2016-04-08,41
2016-04-09,56
2016-04-10,50
2016-04-11,78
2016-04-12,56
2016-04-13,48
2016-04-14,44
2016-04-15,73
2016-04-16,51
2016-04-17,55
2016-04-18,61
2016-04-19,69
2016-04-20,66
2016-04-21,49
2016-04-22,50
2016-04-23,51
2016-04-24,55
2016-04-25,56
2016-04-26,51
2016-04-27,78
2016-04-28,74
2016-04-29,37
2016-04-30,41
2016-05-01,30
2016-05-02,53
2016-05-03,47
2016-05-04,53
2016-05-05,58
2016-05-06,32
2016-05-07,31
2016-05-08,36
2016-05-09,75
2016-05-10,56
2016-05-11,56
2016-05-12,52
2016-05-13,59
2016-05-14,35
2016-05-15,50
2016-05-16,52
2016-05-17,43
2016-05-18,60
2016-05-19,26
2016-05-20,64
2016-05-21,15
2016-05-22,26
2016-05-23,65
2016-05-24,26
2016-05-25,66
2016-05-26,32
2016-05-27,37
2016-05-28,16
2016-05-29,51
2016-05-30,36
2016-05-31,30
2016-06-01,48
2016-06-02,49
2016-06-03,28
2016-06-04,31
2016-06-05,21
2016-06-06,56
2016-06-07,71
2016-06-08,44
2016-06-09,84
2016-06-10,32
2016-06-11,31
2016-06-12,41
2016-06-13,51
2016-06-14,60
2016-06-15,57
2016-06-16,53
2016-06-17,37
2016-06-18,15
2016-06-19,15
2016-06-20,44
2016-06-21,57
2016-06-22,44
2016-06-23,41
2016-06-24,28
2016-06-25,11
2016-06-26,42
2016-06-27,22
2016-06-28,53
2016-06-29,36
2016-06-30,50
