Week,cyber attack_yearly
4/14/13,2
4/21/13,2
4/28/13,2
5/5/13,3
5/12/13,1
5/19/13,1
5/26/13,1
6/2/13,1
6/9/13,1
6/16/13,1
6/23/13,1
6/30/13,1
7/7/13,1
7/14/13,1
7/21/13,1
7/28/13,1
8/4/13,1
8/11/13,1
8/18/13,1
8/25/13,2
9/1/13,2
9/8/13,2
9/15/13,1
9/22/13,1
9/29/13,2
10/6/13,1
10/13/13,1
10/20/13,1
10/27/13,2
11/3/13,2
11/10/13,2
11/17/13,1
11/24/13,2
12/1/13,3
12/8/13,1
12/15/13,1
12/22/13,1
12/29/13,1
1/5/14,1
1/12/14,1
1/19/14,2
1/26/14,1
2/2/14,1
2/9/14,2
2/16/14,2
2/23/14,1
3/2/14,2
3/9/14,1
3/16/14,2
3/23/14,1
3/30/14,1
4/6/14,2
4/13/14,1
4/20/14,2
4/27/14,1
5/4/14,1
5/11/14,1
5/18/14,3
5/25/14,2
6/1/14,7
6/8/14,2
6/15/14,2
6/22/14,2
6/29/14,1
7/6/14,1
7/13/14,1
7/20/14,1
7/27/14,1
8/3/14,2
8/10/14,1
8/17/14,2
8/24/14,3
8/31/14,2
9/7/14,3
9/14/14,3
9/21/14,1
9/28/14,3
10/5/14,2
10/12/14,2
10/19/14,1
10/26/14,2
11/2/14,2
11/9/14,2
11/16/14,2
11/23/14,2
11/30/14,4
12/7/14,3
12/14/14,8
12/21/14,10
12/28/14,3
1/4/15,3
1/11/15,3
1/18/15,2
1/25/15,2
2/1/15,4
2/8/15,3
2/15/15,3
2/22/15,2
3/1/15,2
3/8/15,2
3/15/15,3
3/22/15,2
3/29/15,3
4/5/15,4
4/12/15,2
4/19/15,2
4/26/15,2
5/3/15,2
5/10/15,4
5/17/15,2
5/24/15,2
5/31/15,3
6/7/15,2
6/14/15,3
6/21/15,2
6/28/15,2
7/5/15,9
7/12/15,2
7/19/15,2
7/26/15,2
8/2/15,3
8/9/15,2
8/16/15,2
8/23/15,2
8/30/15,1
9/6/15,2
9/13/15,2
9/20/15,2
9/27/15,2
10/4/15,2
10/11/15,2
10/18/15,10
10/25/15,5
11/1/15,3
11/8/15,3
11/15/15,6
11/22/15,2
11/29/15,4
12/6/15,2
12/13/15,2
12/20/15,2
12/27/15,2
1/3/16,2
1/10/16,2
1/17/16,2
1/24/16,3
1/31/16,2
2/7/16,3
2/14/16,2
2/21/16,2
2/28/16,2
3/6/16,2
3/13/16,2
3/20/16,2
3/27/16,2
4/3/16,2
4/10/16,2
4/17/16,2
4/24/16,2
5/1/16,2
5/8/16,2
5/15/16,2
5/22/16,2
5/29/16,2
6/5/16,2
6/12/16,1
6/19/16,2
6/26/16,2
7/3/16,2
7/10/16,2
7/17/16,2
7/24/16,2
7/31/16,2
8/7/16,2
8/14/16,2
8/21/16,2
8/28/16,2
9/4/16,2
9/11/16,2
9/18/16,2
9/25/16,3
10/2/16,2
10/9/16,3
10/16/16,43
10/23/16,10
10/30/16,4
11/6/16,5
11/13/16,3
11/20/16,2
11/27/16,4
12/4/16,3
12/11/16,3
12/18/16,2
12/25/16,2
1/1/17,2
1/8/17,3
1/15/17,3
1/22/17,3
1/29/17,2
2/5/17,2
2/12/17,2
2/19/17,2
2/26/17,3
3/5/17,2
3/12/17,2
3/19/17,2
3/26/17,2
4/2/17,2
4/9/17,2
4/16/17,4
4/23/17,2
4/30/17,3
5/7/17,76
5/14/17,100
5/21/17,6
5/28/17,4
6/4/17,3
6/11/17,4
6/18/17,4
6/25/17,64
7/2/17,10
7/9/17,5
7/16/17,4
7/23/17,3
7/30/17,4
8/6/17,3
8/13/17,3
8/20/17,3
8/27/17,2
9/3/17,4
9/10/17,3
9/17/17,3
9/24/17,6
10/1/17,3
10/8/17,3
10/15/17,3
10/22/17,4
10/29/17,3
11/5/17,3
11/12/17,3
11/19/17,3
11/26/17,4
12/3/17,3
12/10/17,3
12/17/17,3
12/24/17,1
12/31/17,2
1/7/18,2
1/14/18,2
1/21/18,3
1/28/18,2
2/4/18,3
2/11/18,4
2/18/18,3
2/25/18,3
3/4/18,3
3/11/18,4
3/18/18,5
3/25/18,5
4/1/18,3
