Category: All categories

Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
2016-10-01,43,4,1,8
2016-10-02,40,3,1,7
2016-10-03,43,4,1,10
2016-10-04,43,5,1,9
2016-10-05,44,5,1,9
2016-10-06,43,5,1,8
2016-10-07,45,5,1,9
2016-10-08,43,6,1,8
2016-10-09,46,4,1,7
2016-10-10,45,5,1,9
2016-10-11,51,5,1,8
2016-10-12,54,4,1,9
2016-10-13,49,5,1,8
2016-10-14,48,5,1,9
2016-10-15,44,4,1,7
2016-10-16,43,4,1,7
2016-10-17,46,5,1,9
2016-10-18,45,5,1,10
2016-10-19,46,6,1,8
2016-10-20,45,4,1,9
2016-10-21,43,4,1,9
2016-10-22,44,3,1,8
2016-10-23,48,3,<1,7
2016-10-24,48,4,1,9
2016-10-25,48,5,1,8
2016-10-26,51,4,1,9
2016-10-27,56,5,1,8
2016-10-28,58,5,1,9
2016-10-29,67,5,1,7
2016-10-30,57,4,1,7
2016-10-31,58,5,1,8
2016-11-01,64,6,1,9
2016-11-02,58,4,1,9
2016-11-03,63,4,1,8
2016-11-04,59,4,1,9
2016-11-05,58,3,1,8
2016-11-06,57,4,1,8
2016-11-07,58,4,1,9
2016-11-08,55,5,1,8
2016-11-09,77,4,1,7
2016-11-10,58,4,1,9
2016-11-11,55,5,1,9
2016-11-12,54,3,1,7
2016-11-13,54,4,1,8
2016-11-14,55,5,1,9
2016-11-15,54,4,1,8
2016-11-16,60,4,1,8
2016-11-17,65,4,1,9
2016-11-18,62,4,1,9
2016-11-19,59,4,1,9
2016-11-20,58,3,1,7
2016-11-21,56,5,1,8
2016-11-22,62,5,1,7
2016-11-23,59,4,1,9
2016-11-24,60,4,1,8
2016-11-25,55,3,1,8
2016-11-26,55,3,1,8
2016-11-27,56,4,1,8
2016-11-28,57,5,1,9
2016-11-29,60,4,1,9
2016-11-30,59,4,1,9
2016-12-01,60,4,1,9
2016-12-02,65,5,1,9
2016-12-03,58,3,1,8
2016-12-04,56,4,1,8
2016-12-05,61,5,1,9
2016-12-06,61,6,1,9
2016-12-07,59,5,1,9
2016-12-08,62,4,1,8
2016-12-09,56,4,1,8
2016-12-10,52,3,1,6
2016-12-11,52,3,1,7
2016-12-12,59,3,1,7
2016-12-13,62,4,1,8
2016-12-14,57,4,1,8
2016-12-15,58,4,1,7
2016-12-16,56,3,1,9
2016-12-17,56,3,1,7
2016-12-18,56,2,1,8
2016-12-19,60,4,1,9
2016-12-20,61,4,1,9
2016-12-21,73,4,1,10
2016-12-22,89,4,1,9
2016-12-23,100,5,2,10
2016-12-24,81,3,2,10
2016-12-25,77,3,1,6
2016-12-26,76,3,1,7
2016-12-27,84,4,1,9
2016-12-28,95,4,2,8
2016-12-29,96,5,1,9
2016-12-30,85,5,2,9
2016-12-31,72,3,1,8
