Category: All categories

Day,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
2015-07-01,76,1,3
2015-07-02,71,<1,3
2015-07-03,70,1,3
2015-07-04,68,1,2
2015-07-05,77,<1,4
2015-07-06,84,1,6
2015-07-07,77,1,4
2015-07-08,75,1,6
2015-07-09,78,1,7
2015-07-10,82,1,9
2015-07-11,76,<1,5
2015-07-12,86,1,4
2015-07-13,77,1,3
2015-07-14,70,1,3
2015-07-15,67,1,3
2015-07-16,72,1,3
2015-07-17,67,1,3
2015-07-18,67,<1,3
2015-07-19,66,1,2
2015-07-20,66,1,2
2015-07-21,64,1,2
2015-07-22,63,<1,3
2015-07-23,60,1,2
2015-07-24,65,1,2
2015-07-25,62,1,2
2015-07-26,69,1,4
2015-07-27,77,2,3
2015-07-28,68,1,2
2015-07-29,65,2,2
2015-07-30,61,4,3
2015-07-31,62,5,3
2015-08-01,100,3,3
2015-08-02,83,3,3
2015-08-03,72,2,2
2015-08-04,68,3,2
2015-08-05,64,2,2
2015-08-06,62,3,2
2015-08-07,63,4,2
2015-08-08,61,3,2
2015-08-09,60,4,2
2015-08-10,59,2,2
2015-08-11,62,3,2
2015-08-12,61,3,2
2015-08-13,64,4,2
2015-08-14,58,5,2
2015-08-15,59,4,3
2015-08-16,63,2,2
2015-08-17,63,3,2
2015-08-18,75,2,2
2015-08-19,87,2,2
2015-08-20,78,2,3
2015-08-21,74,2,2
2015-08-22,70,3,2
2015-08-23,71,2,2
2015-08-24,84,2,2
2015-08-25,81,2,5
2015-08-26,70,2,3
2015-08-27,65,1,3
2015-08-28,66,1,2
2015-08-29,65,1,2
2015-08-30,67,1,2
2015-08-31,64,2,2
2015-09-01,65,2,2
2015-09-02,58,2,1
2015-09-03,62,2,2
2015-09-04,57,2,1
2015-09-05,55,1,2
2015-09-06,63,2,2
2015-09-07,60,2,2
2015-09-08,61,2,2
2015-09-09,64,2,2
2015-09-10,62,1,2
2015-09-11,60,1,1
2015-09-12,57,2,1
2015-09-13,57,1,1
2015-09-14,59,2,1
2015-09-15,63,2,1
2015-09-16,61,2,1
2015-09-17,62,1,2
2015-09-18,67,1,2
2015-09-19,64,1,2
2015-09-20,60,1,2
2015-09-21,61,1,2
2015-09-22,67,1,1
2015-09-23,64,1,2
2015-09-24,60,1,1
2015-09-25,58,1,2
2015-09-26,63,1,1
2015-09-27,57,1,2
2015-09-28,59,1,2
2015-09-29,61,2,1
2015-09-30,61,2,2
