,Day,cyber attack,date,btc_per,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,Open_futures,High_futures,Low_futures,Vol._futures,Change %_futures
855,12/12/17,41.0,2017-12-12,59.0,7.0,22.0,45542037888.6,372821,283155000000.0,16919.8,14603800000.0,1950.0,537.94407913,null,29.0,10974.0,7379303372.26,1318300,50286400000.0,522.29,5179830000.0,17280.28125,1559.06119539,413363,7638160590.02,156717,11528600000.0,212.46,6961680000.0,14250.0,360.90044900000004,null,"18,020","18,550","18,760","17,400",1.54K,-2.83
856,12/13/17,37.0,2017-12-13,53.0,8.0,13.0,48353069370.8,424393,292900000000.0,17500.0,12976900000.0,2325.0,604.2979452000001,null,28.0,11002.0,7121890999.02,1137119,62105600000.0,644.91,4524540000.0,18906.09375,1445.28530011,439381,7687014672.18,136446,17116500000.0,315.36,3409790000.0,15525.0,482.91752641,null,"17,055","18,010","18,320","16,160",1.59K,-5.36
857,12/14/17,47.0,2017-12-14,46.0,6.0,9.0,37521936559.5,490459,274269000000.0,16384.6,13777400000.0,2312.5,644.60794431,null,37.0,11039.0,8546375983.66,942559,67482900000.0,700.59,3821580000.0,20787.65625,1714.10815277,464401,3748563097.12,143609,16352400000.0,301.2,2114880000.0,15750.0,321.96257662,null,"16,800","17,080","17,530","16,500",1.05K,-1.5
858,12/15/17,33.0,2017-12-15,42.0,5.0,6.0,35932354891.7,405507,277936000000.0,16601.3,14310000000.0,2112.49999921,592.70393429,null,20.0,11059.0,7038718838.14,904346,67090900000.0,696.38,2758710000.0,20829.84375,1455.13698942,428066,4179439512.46,116514,15258500000.0,280.97,2599940000.0,15300.0,128.03332985,null,"18,105","16,800","18,600","16,760",1.52K,7.77
860,12/17/17,35.0,2017-12-17,47.0,5.0,5.0,37469204186.1,391725,326141000000.0,19475.8,13314600000.0,2312.5,535.43867532,null,7.0,11088.0,5619825552.76,876574,67106400000.0,696.24,2147390000.0,20346.9375,1172.63438579,401425,2898540082.94,107871,16398800000.0,301.78,1703580000.0,15150.0,126.36192120000001,null,"19,550","19,950","20,500","19,320",0,7.98
861,12/18/17,24.0,2017-12-18,47.0,5.0,5.0,46053266583.7,394057,320000000000.0,19106.4,14839500000.0,2275.0,587.12548366,null,13.0,11101.0,6265539681.04,984021,69578400000.0,721.73,3249230000.0,20561.71875,1161.9289019999999,470458,2792750736.01,110604,17336500000.0,318.95,1966600000.0,15100.0,200.26269099,null,"19,055","20,000","20,500","18,170",3.86K,-2.53
862,12/19/17,88.0,2017-12-19,51.0,7.0,6.0,27921654891.1,378482,320242000000.0,19118.3,16894500000.0,1750.0,662.59550536,null,21.0,11122.0,8953367688.68,1092234,76552200000.0,793.9,4096550000.0,20631.375,1487.48222327,503282,5938053298.44,138052,19525500000.0,359.13,2150480000.0,13425.0,143.07260579,null,"17,555","19,070","19,650","17,530",2.60K,-7.87
863,12/20/17,46.0,2017-12-20,68.0,5.0,6.0,28925969428.8,370141,297526000000.0,17760.3,22149700000.0,1700.0,911.59174277,null,15.0,11137.0,10787319533.3,986104,79810600000.0,827.52,3969940000.0,20631.375,1731.48983713,493821,5435595187.53,143881,19012500000.0,349.6,2104060000.0,14075.0,673.72984037,null,"16,700","17,500","18,190","15,660",4.24K,-4.87
864,12/21/17,41.0,2017-12-21,53.0,5.0,5.0,21021432316.6,335350,278827000000.0,16642.4,16516600000.0,1650.0,1128.76167038,null,13.0,11150.0,10869093024.9,1072665,79125300000.0,820.24,3569060000.0,20414.8125,1760.2067906,538200,11756695462.2,162372,17116600000.0,314.66,1555940000.0,14100.0,752.61361958,null,"15,290","16,580","17,200","15,080",4.62K,-8.44
865,12/22/17,24.0,2017-12-22,100.0,6.0,7.0,21320968719.9,380493,266381000000.0,15898.0,22198000000.0,1937.5,1495.94647734,null,15.0,11165.0,11834908290.8,1103523,79374400000.0,822.64,4977710000.0,20571.28125,1640.14807411,568083,4639956647.5,149956,17371200000.0,319.26,2938040000.0,14925.0,534.84132656,null,"13,960","15,370","15,840","11,300",12.55K,-8.7
868,12/25/17,10.0,2017-12-25,40.0,3.0,2.0,19532753166.0,228791,234590000000.0,13995.9,10664700000.0,1687.5,689.39441204,null,4.0,11184.0,4380048429.32,752361,67475100000.0,698.87,2491760000.0,20446.875,756.7676749010001,359699,1358163086.53,77925,15111400000.0,277.49,804377000.0,14100.0,172.98782039,null,"13,790","14,170","14,170","13,790",0,-1.22
869,12/26/17,16.0,2017-12-26,40.0,3.0,3.0,24633024693.3,247298,235294000000.0,14036.6,13454300000.0,1775.0,725.62381816,null,11.0,11195.0,6763153531.73,813510,73717800000.0,763.37,2201160000.0,20383.6875,743.06286587,397072,1206437969.35,82613,14876400000.0,273.11,842993000.0,15525.0,183.82219258,null,"15,810","13,910","16,070","13,790",2.33K,14.65
870,12/27/17,26.0,2017-12-27,37.0,3.0,3.0,27522917856.5,307486,270976000000.0,16163.5,12487600000.0,1950.0,784.81712352,null,19.0,11214.0,7865086383.16,912752,74854100000.0,774.97,2100030000.0,20533.125,826.181804792,425319,1799705552.31,112765,15615200000.0,286.59,777138000.0,14900.0,267.51394684,null,"14,945","15,760","16,570","14,460",2.77K,-5.47
871,12/28/17,15.0,2017-12-28,38.0,3.0,3.0,22350204741.6,304904,265988000000.0,15864.1,12336500000.0,1862.5,785.83389168,null,18.0,11232.0,9632919662.19,949503,73637100000.0,762.21,2389150000.0,20434.125,832.962895658,452867,3283120850.84,111207,14831200000.0,272.13,2593240000.0,14825.0,321.66313634,null,"13,755","15,050","15,300","13,350",3.38K,-7.96
