,date,btc_yearly,btc_per
0,8/16/15,2.0,63
1,8/23/15,2.0,71
2,8/30/15,2.0,67
3,9/6/15,2.0,63
4,9/13/15,2.0,57
5,9/20/15,2.0,60
6,9/27/15,2.0,57
7,10/4/15,2.0,27
8,10/11/15,2.0,27
9,10/18/15,2.0,34
10,10/25/15,2.0,36
11,11/1/15,4.0,43
12,11/8/15,3.0,42
13,11/15/15,2.0,33
14,11/22/15,2.0,36
15,11/29/15,2.0,35
16,12/6/15,4.0,36
17,12/13/15,3.0,44
18,12/20/15,3.0,38
19,12/27/15,2.0,40
20,1/3/16,3.0,61
21,1/10/16,3.0,62
22,1/17/16,3.0,75
23,1/24/16,2.0,62
24,1/31/16,2.0,59
25,2/7/16,2.0,61
26,2/14/16,3.0,66
27,2/21/16,2.0,69
28,2/28/16,2.0,60
29,3/6/16,2.0,65
30,3/13/16,2.0,57
31,3/20/16,2.0,53
32,3/27/16,2.0,54
33,4/3/16,2.0,27
34,4/10/16,2.0,31
35,4/17/16,2.0,25
36,4/24/16,3.0,33
37,5/1/16,4.0,30
38,5/8/16,3.0,34
39,5/15/16,2.0,30
40,5/22/16,2.0,28
41,5/29/16,3.0,47
42,6/5/16,3.0,40
43,6/12/16,4.0,54
44,6/19/16,4.0,50
45,6/26/16,3.0,44
46,7/3/16,3.0,55
47,7/10/16,3.0,56
48,7/17/16,2.0,45
49,7/24/16,3.0,40
50,7/31/16,3.0,41
51,8/7/16,3.0,47
52,8/14/16,2.0,37
53,8/21/16,2.0,34
54,8/28/16,2.0,40
55,9/4/16,3.0,46
56,9/11/16,3.0,42
57,9/18/16,2.0,42
58,9/25/16,2.0,37
59,10/2/16,2.0,40
60,10/9/16,3.0,46
61,10/16/16,2.0,43
62,10/23/16,3.0,48
63,10/30/16,3.0,57
64,11/6/16,3.0,57
65,11/13/16,3.0,54
66,11/20/16,3.0,58
67,11/27/16,3.0,56
68,12/4/16,3.0,56
69,12/11/16,3.0,52
70,12/18/16,4.0,56
71,12/25/16,5.0,77
72,1/1/17,7.0,46
73,1/8/17,5.0,65
74,1/15/17,4.0,49
75,1/22/17,4.0,43
76,1/29/17,4.0,40
77,2/5/17,4.0,45
78,2/12/17,4.0,46
79,2/19/17,5.0,43
80,2/26/17,6.0,50
81,3/5/17,7.0,66
82,3/12/17,6.0,61
83,3/19/17,6.0,62
84,3/26/17,5.0,54
85,4/2/17,5.0,17
86,4/9/17,5.0,17
87,4/16/17,5.0,16
88,4/23/17,5.0,16
89,4/30/17,7.0,19
90,5/7/17,10.0,25
91,5/14/17,11.0,38
92,5/21/17,19.0,41
93,5/28/17,12.0,53
94,6/4/17,12.0,37
95,6/11/17,13.0,46
96,6/18/17,11.0,38
97,6/25/17,11.0,36
98,7/2/17,9.0,29
99,7/9/17,10.0,28
100,7/16/17,12.0,43
101,7/23/17,11.0,34
102,7/30/17,14.0,32
103,8/6/17,14.0,43
104,8/13/17,20.0,67
105,8/20/17,16.0,51
106,8/27/17,17.0,44
107,9/3/17,18.0,56
108,9/10/17,21.0,48
109,9/17/17,15.0,52
110,9/24/17,13.0,37
111,10/1/17,12.0,7
112,10/8/17,18.0,8
113,10/15/17,19.0,11
114,10/22/17,20.0,12
115,10/29/17,27.0,10
116,11/5/17,29.0,17
117,11/12/17,30.0,24
118,11/19/17,27.0,14
119,11/26/17,64.0,24
120,12/3/17,90.0,30
121,12/10/17,86.0,53
122,12/17/17,100.0,47
123,12/24/17,62.0,47
124,12/31/17,48.0,28
125,1/7/18,45.0,45
126,1/14/18,57.0,37
127,1/21/18,37.0,38
128,1/28/18,39.0,31
129,2/4/18,47.0,37
130,2/11/18,27.0,27
131,2/18/18,24.0,27
132,2/25/18,19.0,19
133,3/4/18,19.0,17
134,3/11/18,19.0,17
135,3/18/18,17.0,22
136,3/25/18,18.0,15
137,8/10/15,,59
138,8/11/15,,62
139,8/12/15,,61
140,8/13/15,,64
141,8/14/15,,58
142,8/15/15,,59
143,8/17/15,,63
144,8/18/15,,75
145,8/19/15,,87
146,8/20/15,,78
147,8/21/15,,74
148,8/22/15,,70
149,8/24/15,,84
150,8/25/15,,81
151,8/26/15,,70
152,8/27/15,,65
153,8/28/15,,66
154,8/29/15,,65
155,8/31/15,,64
156,9/1/15,,65
157,9/2/15,,58
158,9/3/15,,62
159,9/4/15,,57
160,9/5/15,,55
161,9/7/15,,60
162,9/8/15,,61
163,9/9/15,,64
164,9/10/15,,62
165,9/11/15,,60
166,9/12/15,,57
167,9/14/15,,59
168,9/15/15,,63
169,9/16/15,,61
170,9/17/15,,62
171,9/18/15,,67
172,9/19/15,,64
173,9/21/15,,61
174,9/22/15,,67
175,9/23/15,,64
176,9/24/15,,60
177,9/25/15,,58
178,9/26/15,,63
179,9/28/15,,59
180,9/29/15,,61
181,9/30/15,,61
182,10/1/15,,27
183,10/2/15,,27
184,10/3/15,,27
185,10/5/15,,26
186,10/6/15,,31
187,10/7/15,,30
188,10/8/15,,31
189,10/9/15,,27
190,10/10/15,,29
191,10/12/15,,27
192,10/13/15,,29
193,10/14/15,,31
194,10/15/15,,27
195,10/16/15,,32
196,10/17/15,,31
197,10/19/15,,29
198,10/20/15,,35
199,10/21/15,,32
200,10/22/15,,35
201,10/23/15,,31
202,10/24/15,,32
203,10/26/15,,33
204,10/27/15,,37
205,10/28/15,,37
206,10/29/15,,42
207,10/30/15,,45
208,10/31/15,,40
209,11/2/15,,47
210,11/3/15,,66
211,11/4/15,,86
212,11/5/15,,74
213,11/6/15,,56
214,11/7/15,,47
215,11/9/15,,48
216,11/10/15,,41
217,11/11/15,,46
218,11/12/15,,42
219,11/13/15,,38
220,11/14/15,,32
221,11/16/15,,41
222,11/17/15,,36
223,11/18/15,,41
224,11/19/15,,40
225,11/20/15,,39
226,11/21/15,,35
227,11/23/15,,40
228,11/24/15,,37
229,11/25/15,,36
230,11/26/15,,38
231,11/27/15,,37
232,11/28/15,,34
233,11/30/15,,41
234,12/1/15,,39
235,12/2/15,,36
236,12/3/15,,37
237,12/4/15,,37
238,12/5/15,,34
239,12/7/15,,40
240,12/8/15,,47
241,12/9/15,,100
242,12/10/15,,66
243,12/11/15,,53
244,12/12/15,,51
245,12/14/15,,44
246,12/15/15,,50
247,12/16/15,,48
248,12/17/15,,41
249,12/18/15,,44
250,12/19/15,,37
251,12/21/15,,40
252,12/22/15,,39
253,12/23/15,,44
254,12/24/15,,40
255,12/25/15,,36
256,12/26/15,,40
257,12/28/15,,41
258,12/29/15,,41
259,12/30/15,,35
260,12/31/15,,36
261,1/1/16,,62
262,1/2/16,,62
263,1/4/16,,67
264,1/5/16,,66
265,1/6/16,,68
266,1/7/16,,75
267,1/8/16,,72
268,1/9/16,,67
269,1/11/16,,69
270,1/12/16,,65
271,1/13/16,,70
272,1/14/16,,63
273,1/15/16,,95
274,1/16/16,,100
275,1/18/16,,78
276,1/19/16,,75
277,1/20/16,,84
278,1/21/16,,71
279,1/22/16,,72
280,1/23/16,,61
281,1/25/16,,68
282,1/26/16,,66
283,1/27/16,,67
284,1/28/16,,67
285,1/29/16,,65
286,1/30/16,,55
287,2/1/16,,58
288,2/2/16,,64
289,2/3/16,,60
290,2/4/16,,62
291,2/5/16,,55
292,2/6/16,,63
293,2/8/16,,57
294,2/9/16,,66
295,2/10/16,,65
296,2/11/16,,62
297,2/12/16,,65
298,2/13/16,,60
299,2/15/16,,68
300,2/16/16,,66
301,2/17/16,,74
302,2/18/16,,81
303,2/19/16,,68
304,2/20/16,,71
305,2/22/16,,71
306,2/23/16,,68
307,2/24/16,,64
308,2/25/16,,69
309,2/26/16,,57
310,2/27/16,,62
311,2/29/16,,62
312,3/1/16,,71
313,3/2/16,,65
314,3/3/16,,68
315,3/4/16,,64
316,3/5/16,,68
317,3/7/16,,63
318,3/8/16,,67
319,3/9/16,,64
320,3/10/16,,57
321,3/11/16,,60
322,3/12/16,,58
323,3/14/16,,65
324,3/15/16,,63
325,3/16/16,,66
326,3/17/16,,59
327,3/18/16,,58
328,3/19/16,,56
329,3/21/16,,62
330,3/22/16,,63
331,3/23/16,,56
332,3/24/16,,60
333,3/25/16,,57
334,3/26/16,,52
335,3/28/16,,60
336,3/29/16,,60
337,3/30/16,,63
338,3/31/16,,64
339,4/1/16,,28
340,4/2/16,,27
341,4/4/16,,31
342,4/5/16,,27
343,4/6/16,,29
344,4/7/16,,29
345,4/8/16,,30
346,4/9/16,,30
347,4/11/16,,32
348,4/12/16,,33
349,4/13/16,,30
350,4/14/16,,31
351,4/15/16,,29
352,4/16/16,,28
353,4/18/16,,29
354,4/19/16,,28
355,4/20/16,,32
356,4/21/16,,33
357,4/22/16,,31
358,4/23/16,,32
359,4/25/16,,35
360,4/26/16,,37
361,4/27/16,,35
362,4/28/16,,38
363,4/29/16,,33
364,4/30/16,,33
365,5/2/16,,100
366,5/3/16,,62
367,5/4/16,,44
368,5/5/16,,46
369,5/6/16,,41
370,5/7/16,,35
371,5/9/16,,37
372,5/10/16,,39
373,5/11/16,,33
374,5/12/16,,36
375,5/13/16,,33
376,5/14/16,,29
377,5/16/16,,32
378,5/17/16,,32
379,5/18/16,,31
380,5/19/16,,34
381,5/20/16,,34
382,5/21/16,,29
383,5/23/16,,32
384,5/24/16,,33
385,5/25/16,,34
386,5/26/16,,33
387,5/27/16,,35
388,5/28/16,,40
389,5/30/16,,48
390,5/31/16,,44
391,6/1/16,,42
392,6/2/16,,38
393,6/3/16,,46
394,6/4/16,,44
395,6/6/16,,41
396,6/7/16,,44
397,6/8/16,,38
398,6/9/16,,39
399,6/10/16,,35
400,6/11/16,,36
401,6/13/16,,70
402,6/14/16,,57
403,6/15/16,,50
404,6/16/16,,64
405,6/17/16,,62
406,6/18/16,,55
407,6/20/16,,52
408,6/21/16,,57
409,6/22/16,,54
410,6/23/16,,54
411,6/24/16,,77
412,6/25/16,,53
413,6/27/16,,50
414,6/28/16,,45
415,6/29/16,,42
416,6/30/16,,44
417,7/1/16,,54
418,7/2/16,,52
419,7/4/16,,49
420,7/5/16,,51
421,7/6/16,,52
422,7/7/16,,56
423,7/8/16,,54
424,7/9/16,,68
425,7/11/16,,50
426,7/12/16,,51
427,7/13/16,,50
428,7/14/16,,44
429,7/15/16,,44
430,7/16/16,,44
431,7/18/16,,46
432,7/19/16,,47
433,7/20/16,,43
434,7/21/16,,41
435,7/22/16,,43
436,7/23/16,,39
437,7/25/16,,41
438,7/26/16,,43
439,7/27/16,,48
440,7/28/16,,41
441,7/29/16,,41
442,7/30/16,,40
443,8/1/16,,47
444,8/2/16,,56
445,8/3/16,,100
446,8/4/16,,67
447,8/5/16,,52
448,8/6/16,,42
449,8/8/16,,43
450,8/9/16,,45
451,8/10/16,,42
452,8/11/16,,41
453,8/12/16,,40
454,8/13/16,,38
455,8/15/16,,42
456,8/16/16,,41
457,8/17/16,,42
